uuid,name,description
281f9a7a-e708-4a99-8827-73e12d8cbcbb,Everything Box Expansion,"The Everything Box comes with 300 all-new cards to add to your deck of Cards Against Humanity.
We'd like to say we called it the Everything Box because it holds a mirror to our fragmented, chaotic world, where everything is monetized and opiate-peddling megacorporations control us with amoral social media algorithms.
But honestly, we were just hungry.
Bagel not included.

Released: August 10, 2021  Icon: Bagel"
436609d6-02b6-4bfa-adcc-870b5681b55a,Prompt,"Hey, check out my podcast! It's just two regular guys talking about ______.",0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
2536423b-b629-4c5f-ae1e-db8e9698cfa9,Prompt,Holy MOLY! Now THAT'S what I call ______!,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
e1bb5c1d-a334-44dc-a2cb-f788562f68ed,Prompt,"How am I, the Card Czar, going to die?",0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
716f3050-e07d-4786-90a4-5b5128793840,Prompt,"I only saw my father cry twice: once after Mom died, and once after ______.",0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
24c90b15-eb81-4522-915d-ba5a3ff869b2,Prompt,"I'm ______, you're ______, let's party!",0,2,d44f1e5c-7664-413c-aedc-d2160786c1d1
222e6575-9c20-4b81-9943-f328b7b43813,Prompt,"I'm Ted Cruz, and I'm proud to endorse ______.",0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
2fe30bff-5ed0-4446-8ca4-96be739017d4,Prompt,"I'm that bad type

Make your mama sad type

Might seduce your dad type

I'm ______.",0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
ef461c9e-64d9-4b62-92e8-cac053c177e6,Prompt,Incredible! Biologists have discovered an octopus capable of ______.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
b087793f-aa9c-48c2-997b-c001c2a4b5f5,Prompt,"It is a truth universally acknowledged, that a single man in possession of a good fortune, must be in want of ______.",0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
bdb85a46-fad7-4b1e-a8c1-739c262f0b13,Prompt,"It's very simple.
You give me sex.
I give you ______.",0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
4228834a-e460-4d84-b7b6-23b552e597d2,Prompt,"Join our peaceful community. We eat grapes. We live in tents. We enjoy ______, together.",0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
a60a19a0-1057-48cd-838c-c73f44d333e6,Prompt,"Lord, please guide my baby girl back to you and away from ______. Amen.",0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
8e81e17a-6c8b-4636-9427-572352e0671a,Prompt,Lucky to be ALIVE! Kylie Jenner's TERRIFYING encounter with ______.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
0d21665c-d431-4aa8-8124-2b1d4c54adcc,Prompt,"Me: Hey, Randy! What's going on?

Randy: Aw nothing, man. Just ______.",0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
eb22c184-e1a2-4ed7-a9b2-700c0969623f,Prompt,Men like ______.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
23224ca0-69b9-4a84-8460-942be8f91425,Prompt,"Mom! Mom! Look at me, Mom! I'm ______!",0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
afc23a8d-d58d-4ff3-a6d0-38c4af021210,Prompt,"Momma always said, ""Life is like ______. You never know what you're gonna get.""",0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
8741f969-9882-4fb9-9477-e78c1749efa3,Prompt,"Mr. Musk, as your legal counsel, I must strongly advise against ______.",0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
1d773195-ff9d-422a-9bec-fbeb65fa8e47,Prompt,"My favorite rapper is ""Lil ______.""",0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
2a610618-1ad1-4d8a-bc7f-6c1f55616457,Prompt,My penis is ______.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
c1da54d9-fd2d-401b-be97-847ef47a1d56,Prompt,My vagina is ______.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
1bc770c4-d46e-4da5-8a19-faaa32ef8df6,Prompt,Now on Disney+! Pirates of the Caribbean: The Curse of ______.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
00e2a7f8-4ac4-4b97-9c10-cae6e0153de8,Prompt,Pssst. You go around back. I'll distract the guards with ______.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
739ba410-d607-41db-b4a6-4090f92516a7,Prompt,"Ready or not, here comes ______!",0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
f1fc3a7b-849e-486d-9ec2-edc247db2c7f,Prompt,"The first rule of Fight Club is: don't talk about Fight Club.
The second rule of Fight Club is: don't talk about ______.",0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
68a20fbd-366f-430a-b337-f15162899d05,Prompt,The year is 2150. The president is ______.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
8e167982-4f70-473d-9699-4b13bac9b029,Prompt,"There is a video circulating the Internet that does not represent who I am. I made a vile mistake in my youth, and I deeply regret it. Please don't watch the ______ video.",0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
5e71b9d4-a29c-40df-ac9c-5881b591db70,Prompt,Today's technical challenge comes from Paul Hollywood. He would like six identical pastries in the shape of ______.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
0d956b31-680d-4ee6-8087-5f4c470bcdef,Prompt,"Two roads diverged in a yellow wood--
I chose ______,
And that has made all the difference.",0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
d65fe4f5-814a-4dc4-a9ad-b4dd10bddd3b,Prompt,Up next on Fox News: Are college students being radicalized by ______?,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
63e55436-672a-44a6-bc6d-bdea0b5b23f3,Prompt,WARNING: ______ may cause ______.,0,2,d44f1e5c-7664-413c-aedc-d2160786c1d1
ac9423a5-6356-4198-a75c-f71cb31f3579,Prompt,Welcome the jungle! We've got ______.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
af07e08e-f8d1-4117-945a-4cebc77edc32,Prompt,Welcome to Hidden Creek Water Park. Please remember that we do not allow ______ in the pool.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
4a480c94-1c47-43da-9e61-fef3952d1c6a,Prompt,What's better when clowns are involved?,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
ed21dc03-e4b7-4bb9-ae6a-31ef5cc2ba94,Prompt,"What's big, sweaty, and fantastic?",0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
4e720eca-921a-4838-8a07-f6e16265b3ea,Prompt,"What's kind of sad, kind of beautiful, but also kind of funny?",0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
630b1498-c5e9-46c5-a4d4-80cb3a652264,Prompt,"Yo, is _____racist?",0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
d562a379-527e-4b7c-87a4-5f8494e1d9c4,Prompt,"You ______, bro!",0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
25bac6a6-c8d1-4620-a272-ade14b2d84f8,Prompt,"You better lose yourself in the music

The moment you own it, you better never let it go

You only get one shot, do not miss your chance for ______.",0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
186c3ea9-387b-4d3b-a88d-105c7b16d586,Prompt,You're on a first date. What's an instant red flag?,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
98f43172-1fb7-424a-8918-a10fbf19ab6f,Response,70s bush.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
d5f002d3-9c16-4d4e-8d8e-97648be1eed4,Response,9/11 but with monkeys.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
229baa37-28ca-44a8-a4e0-7ce1d4e11f51,Response,A Big Mouth Billy Bass that just screams.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
60fed7c6-b5ad-473d-b788-a18801b88a23,Response,A bird funeral.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
b6c61dab-f6e1-4475-8ed8-64737f883647,Response,A bit of a tarantula problem.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
8bc00957-4b36-41a8-a417-127aa6ef7ed1,Response,A chode.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
c895cbf1-14df-4134-823b-454ce35e124e,Response,A dangerous new type of onion.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
a49ec04c-edc3-4cc0-9300-1659c23b8db4,Response,A dentist named Funboy.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
7499c9f8-a863-40fd-8125-e46d048ea9a7,Response,A fuck swing.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
433fb0c3-67b3-42fd-95e1-18b4f7f307f6,Response,A geisha who is clearly Ronald McDonald.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
66f780e3-ed85-4cb9-8291-7efc6311a305,Response,A huge swan that wants to fuck.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
91da8993-ead6-493a-a947-ad4e91dc5861,Response,A little boy in a sailor suit.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
f7d23350-973c-4172-a48c-651ab0e91766,Response,A little heroin here and there.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
99785f60-faa3-4c9a-b077-60353577a907,Response,A meeting that could've been an email.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
47d8052b-0ef5-4fe7-97f2-6175609ec676,Response,A missed period.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
6258d21f-1965-4fe8-ab9b-bb4881ca7f46,Response,"A mule that can say ""Walmart.""",0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
874b94ab-40cc-4049-92d7-7a0b988da0a6,Response,A national conversation about race.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
daba79d7-1a19-439c-a110-0505bb9528bd,Response,A penis with its own smaller penis.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
ba2570d7-a2b2-4c62-ae71-8df29d2b5a20,Response,"A perfectly ordinary object, like a pen.",0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
e5505a6b-43a2-4e6c-8b46-3327a61b91f9,Response,"a red wheel barrow

glazed with rain water

beside the white chickens",0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
97321578-70be-4e9e-96f1-0abb8b7fb723,Response,A restraining order.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
dca91e2e-15ba-43f2-8157-26e5e290f727,Response,A sexually charged game of chess.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
ee5a1d66-34ea-4ace-8183-267dd3c7151f,Response,A sexy little bald guy.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
6af4f627-73ef-4560-8237-9582ae0d08d1,Response,A shirtless Uber driver.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
b257cd82-6329-46c1-907d-d4a590e65b39,Response,"A skinny, submissive husband.",0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
659ab372-52e9-48d3-a5ba-e26651f3e376,Response,A viable third party candidate.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
2354a85c-1411-47bf-9ab7-fbc8e9b0fc7f,Response,A VR horse-fucking simulator.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
d5615e9a-6584-4384-beab-6cb8b4fac1d4,Response,A ziploc bag of soup.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
d6410351-6044-4e03-a1a8-2ca68b31bf9c,Response,Affirmative action.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
07db3dd3-db9b-4632-8266-913b8bea8180,Response,Aging terribly.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
093a487a-4e2d-43ac-b94a-39de1c890827,Response,All y'all motherfuckers.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
07417229-e938-4673-ae58-3b4ae8a4f4ec,Response,"An $80,000 bill from the hospital.",0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
082d28d2-e001-4bc8-b8b3-f3dbacbe85b2,Response,An arranged marriage.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
2ad9f81c-6ebe-43ab-a7bb-0da3f2959f70,Response,An avalanche of ground beef.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
cfcbc19a-a7eb-4a8b-9bf2-bf155ab65a1a,Response,Anxiety-baking a hundred muffins.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
0a9ce3cc-b6ed-42ba-b539-65a1d784e375,Response,Any kind of sex with anybody.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
c0728e46-b54a-459d-822c-7f1c00265ed7,Response,Apatheid.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
1af6bd66-441b-4e3c-a25f-cb87be6a2a39,Response,Arguing.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
a6220cdd-0b7b-4466-be3b-f596bcd29aef,Response,Asking for money.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
599d02ac-9aba-4d36-bfa1-5805b9e15354,Response,Asking the dentist for more teeth.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
7b328f1d-4f3c-4932-995c-008c7a0241c8,Response,Asking to see the manager.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
9ef5e734-19f5-4860-9563-626482667539,Response,Bad music or stupid people.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
954ff07a-9d51-4887-877c-84f8c3bb91ae,Response,Bad stand-up comedy.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
4b0a60a0-f1f0-4f1c-a1b1-d599dfd14743,Response,Bangin' bimbos and boppin' bongos!,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
a0fcc89a-ad4d-40a8-9b83-451136008513,Response,Being 1/16th Native American.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
909d344b-0ab7-457e-ac97-cc93aac53e31,Response,"Being a bad, racist policeman.",0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
bf83922a-4816-44af-b75c-d89c70a83a78,Response,Being a pervert.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
ec8d7a37-a3a3-49c7-9666-067f9aac9c32,Response,Being acquired by Amazon.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
51a96dc6-b5db-446d-9299-49227384c10f,Response,Being mindful of ccylists.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
5c977030-e2c8-46c7-96f0-162754d6b2e9,Response,Being nervous around white people.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
df2c0874-77cd-4a4d-8bd8-4cadd8ddcf70,Response,Being the product of incest.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
f3a19a51-617c-457e-a1d9-b273331036a0,Response,Big snake!,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
e028c966-3453-4403-9904-81de057167f3,Response,Bitcoin.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
b48ab451-aa6e-439b-88b9-f11cb322bf91,Response,Black Republicans.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
adb0eef1-9128-447e-853e-47989c5ae4dc,Response,Bleeding through another jumbo tampon.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
a7ef4487-5f14-4bb8-8d79-68fad58a4a02,Response,"Brian, the man who works at the Guitar Center.",0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
439500a2-e444-4e98-9092-bac637e68b27,Response,Building systems and coordinating processes.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
ae5df2eb-2efe-4ce8-bc13-a73e2a2081a6,Response,Buildings.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
e4f014da-7005-4e8d-8c44-89f9646714e3,Response,Bush's Baked Beans.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
c6699c59-fd99-42df-bf7f-cc5dcf25640e,Response,Buying things to fill the emptiness inside.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
94ba1d87-f116-44c0-9dbf-5e52a4407286,Response,Cashews.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
a18d52ba-b218-433a-b098-886c05709e2c,Response,Chinese pResident Xi Jinping.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
77f8c19e-5a16-41a9-861d-ec748a85a43c,Response,Choking to death on a Werther's Original.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
f276f6b8-2aa7-4428-aea8-1b7b3f9bdfa0,Response,Couples therapy.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
77a38c19-cfdf-4581-a1b2-d9ec2bba2dd5,Response,"Crandolph, my sweet egg boy.",0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
4b97f32d-7158-4773-9c21-836d58c932e1,Response,Crankin' my hog in the middle of a Zoom call.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
0d286fb6-2d75-4832-905f-856377418a79,Response,"Crying ""Yes, Father!"" while getting spanked.",0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
a7a09b08-1b42-4216-badb-2b6d021ef495,Response,Deteriorating mental health.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
4ac80659-9d14-4614-8082-9d230c5b7c5b,Response,Diabetes.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
d71f29f4-47b2-43b9-b7fc-54ac315b3110,Response,DiGiorno.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
81b12d09-82e1-4bdb-bf5c-686adfc52410,Response,Dissolving my husband's body in acid.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
94725537-56fd-4208-a9c5-d94c6a5316e2,Response,Divorced billionaire energy.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
bc57776c-78e5-4979-86a3-5c13a418f49b,Response,Doing nothing about climate change.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
8b2dce0e-8b22-4887-a2a1-41e579ac4aba,Response,Domestic terrorism.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
8850e6a4-f5b4-45fb-bb73-a4d60b99c2fe,Response,Drag queens.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
50b36006-6cee-4864-be16-d3b33ee7585f,Response,Eating a huge bowl of pasta like a fat piece of shit.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
b14ccf42-978a-4565-a5d8-353261d328c6,Response,Edging.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
a2f627dc-09a3-4b22-b9d9-1bd92327971e,Response,Escaping from North Korea.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
206922b9-ca1e-496f-99a4-e52e4677bf80,Response,Expanding British commercial interests in Nigeria.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
0999c32c-f2b0-40f3-940d-b9939428c9dc,Response,Faking a pregnancy.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
76407664-b131-4209-8db1-5bb00cd4cad9,Response,Falling down the stairs.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
235f03ab-0e7b-49d7-ba83-8a232872348d,Response,Falling in love with a turkey.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
14c66260-e9e7-4c14-a53b-83ab4ad2cf78,Response,Farting out a little boy's birthday candles.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
934ffae5-d645-439e-8bdb-6757fe4c244f,Response,Feeding a three-course Italian dinner to a mailbox.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
51c2fd2c-ce48-4f7d-96be-575539755c3a,Response,Figuring out how to stop Black people from voting.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
ece2d23e-11a1-4795-a46d-b19d5db4d6b4,Response,Fleeing the country.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
f6f64080-28b1-47c6-9af4-53dfe97843ad,Response,Fucking a pregnant clown.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
ff25aaad-5162-46df-b8f7-aeb5aec80c0d,Response,Fucking me.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
659c5dd2-5ea2-4f0f-b288-647def7cca72,Response,Gathering all the world leaders in one room and showing them my pussy.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
827597bd-9db2-43a4-90a7-113e6c4198a2,Response,Gay.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
48bd0a6f-3b75-47eb-82a4-872e531a1545,Response,Getting bukkaked by twenty Spider-Men.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
29d1ea44-3f7d-42c4-8d2a-861f785da6cf,Response,Getting crunched into a ball and slammed through a hoop by LeBron James.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
10dbb89d-6bea-430a-bf28-75e127b9bcef,Response,Getting dick tonight.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
8fd181c7-4a4a-40e1-b0b0-196773ac4fbd,Response,Getting drafted and having to be in the army.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
ed030e6a-77ea-4703-9c6f-fe07f6334fe8,Response,Getting involved in local politics.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
2a531c4e-a858-454e-9c99-5ab9123cf081,Response,Getting spayed.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
5305dfd6-71fd-4876-a82e-7111b0de2580,Response,Getting swole.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
90515221-fbad-40e7-96e8-70908aa33f4d,Response,Getting tazed in the balls.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
fa3501c9-185c-43eb-bc9d-daa958ec3623,Response,Getting waterboarded.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
f5a08f93-9e9a-4212-aee4-03a6b6c1eaa1,Response,Getting white-girl wasted.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
b3320786-a012-4b1a-a5ad-dde5fc007439,Response,Giving $5 to Black Lives Matter.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
31724c1e-35e0-4e64-b979-9f1a1efd37ea,Response,Glittering my pubes.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
fc9411cf-68cf-4548-92e0-bd01ed1bc8af,Response,Going to a Maroon 5 concert in 2007.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
d25a5586-a7b5-4535-90d3-5a8af3181295,Response,Golf.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
849900fc-7b01-43bf-989f-e67edff5f7e7,Response,"Googling ""lenny kravitz penis.""",0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
d4b088ff-a23a-405b-b9bb-92fedb28a3e5,Response,Grandpa jerking it to Betty Boop.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
6ee472dc-1660-4c61-a994-fec88b6fd5a9,Response,Hands.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
0acece04-28e1-4e37-8d3d-cfc935fa6469,Response,Having a bad life.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
8579a993-f955-4589-adb8-4fc0bb37bf8c,Response,"Having a really cool nickname, like ""The Sledgehammer.""",0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
8312c705-d120-4f83-8663-6761d4ed3ce0,Response,Having a thousand best friends but they're all pigeons.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
525fcf28-ab61-4873-a655-84e9706fecb5,Response,Having an affair.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
25874ebd-b7d6-43ac-b8c2-297b87d81115,Response,Having divorced parents.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
0c45eb8e-127a-431e-85b0-b2932f5bd141,Response,Having six weeks left to live.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
3035eced-3042-4398-a4d3-e876024ff255,Response,Hentai.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
f91e5b7f-1eed-4c66-9264-a7e39f140f92,Response,"Holding a lantern and saying, ""Who goes there?""",0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
dbda61a6-a1e1-4251-a736-53ba0dc082f2,Response,Hootin' and hollerin'.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
f50d416c-300f-49d3-8899-b1fbc6a998dd,Response,Hooves.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
001501b2-6a14-453b-ba7f-97a764793df7,Response,Horny.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
75a5e080-27a5-4c7c-8565-0ea836dc71e0,Response,How sad it is that Tom Hanks died of COVID.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
f534ba0b-67b5-476c-bdc3-1eca9ba1008e,Response,HPV.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
99c3d86b-075c-4ae9-8a07-4e45e8fca636,Response,Huge American children.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
f6849f19-6066-4e18-b1a9-0b40706050c2,Response,I am a goat.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
4e34261c-97b9-466e-9898-870d1fa5e2b4,Response,idk lol,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
