uuid,name,description
cf360085-d4ad-44ea-84be-727f6e330167,Blue Box Expansion,"A combination of the Fourth, Fifth, and Sixth Expansions.
Released November 21, 2016.  Icon: A blue triangle.
"

uuid,edition,version,description,author,releaseDate,column
845678ac-705f-4159-bf9e-2b2b749b4ee6,,v1.0,,,0,0
0947bf5e-f927-4045-844b-b4d3cf5229dc,,v1.1,,,0,1
4a6555a5-d621-4c65-81cf-109bea3b8663,,v1.2,,,0,2
438a8162-0b02-4e2d-8028-6eb4676a9944,,v1.3,,,0,3
dd0b09a6-6bc9-4afd-b693-d0b78dd5da45,,v1.4,,,0,4
795c0515-0370-4514-88c4-ad0d4ee64d2f,Prompt,"As king, how will I keep the peasants in line?",0,0,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
c3ab242f-9b36-48ad-9ce8-beb981ced8e8,Prompt,"Attention Target shoppers. Unfortunately, we will be closing early due to ______.",0,0,,,,,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
1a76ee98-afa0-4998-aaf1-82aa5c51174b,Prompt,Behind every powerful man is ______.,0,0,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
00a3036c-03f5-4ce1-8c00-2e785bb54a54,Prompt,"Bitch, you're nasty. You're disgusting. You're _______. Go home, bitch.",0,0,,,,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
d2c2614b-cc93-4d23-952a-e0d2fe6c49fb,Prompt,"Come to Dubai, where you can relax in our world-famous spas, experience the nightlife, or simply enjoy ______ by the poolside.",0,0,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
9230270c-0b60-40f3-87ef-d0129c61275d,Prompt,Dammit Gary. You can't just solve every problem with ______.,0,0,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
37932f49-984d-4a8e-9e24-257d855e9304,Prompt,"Dear Leader Kim Jong-un, our village praises your infinite wisdom with a humble offering of ______.",0,0,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
e84b7a8e-4c13-41d8-9544-dc91c56123ae,Prompt,Do not fuck with me! I am literally ______ right now.,0,0,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
c4776d07-9e50-4b21-84bf-95d9855bc6b9,Prompt,Do the Dew with our most extreme flavor yet! Get ready for Mountain Dew ______!,0,0,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
b68ee346-fc02-4656-821c-892d774f0b7c,Prompt,Do you lack energy? Does it sometimes feel like the whole world is ______ ? Ask your doctor about Zoloft.®,0,0,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
e162e1ac-f4a7-4907-959c-29bbe662988c,Prompt,"Don't forget! Beginning this week, Casual Friday will officially become ""______ Friday.""",0,0,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
a030d678-056d-43bc-b2fa-abc4cbebdcb0,Prompt,Don't worry kid. It gets better. I've been living with ______ for 20 years.,0,0,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
8938e029-04b9-4adc-b957-afcd86f0bd6b,Prompt,Every step towards ______ gets me a little bit closer to ______.,0,2,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
68842d68-ddc0-48b0-a4b2-cdc743b3c591,Prompt,Everybody join hands and close your eyes. Do you sense that? That's the presence of ______ in this room.,0,0,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
1c8807c7-4f61-4b2f-86b8-477876a5a47b,Prompt,"Forget everything you know about ______, because now we've supercharged it with ______!",0,2,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
7b2dce62-b301-4d58-bc87-c3dc87c075fa,Prompt,Get ready for the movie of the summer! One cop plays by the book. The other's only interested in one thing: ______.,0,0,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
6a13f34f-f338-4158-a29e-c69145765899,Prompt,Having the worst day EVER. #______,0,0,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
007db1e9-c18f-4766-bc55-6d39dfa8e3d3,Prompt,"Heed my voice, mortals! I am the god of ______ , and I will not tolerate ______!",0,2,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
402d4735-7f1f-4609-a3ec-f31894c38881,Prompt,"Help me doctor, I've got ______ in my butt!",0,0,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
ed7199a1-69b9-48f9-8c33-f02dc9cf5407,Prompt,"Here at the Academy for Gifted Children, we allow students to explore ______ at their own pace.",0,0,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
7ac6c454-992c-4fbb-9a8b-dc61676fdd84,Prompt,"Hi MTV! My name is Kendra, I live in Malibu, I'm into ______, and I love to have a good time.",0,0,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
7218d36d-64a0-459c-8600-0188a0e248c6,Prompt,"Hi, this is Jim from accounting. We noticed a $1,200 charge labeled ""______."" Can you explain?",0,0,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
2eb6836b-bb92-4b4c-acf1-7545c10321b3,Prompt,"Honey, I have a new role-play I want to try tonight! You can be ______, and I'll be ______.",0,2,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
1620818e-ad8c-498c-98de-1a3a551b52b0,Prompt,How am I compensating for my tiny penis?,0,0,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
786d08d6-b3c0-4a2e-8c3a-e9e20a664703,Prompt,"I am become ______, destroyer of ______!",0,2,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
be1926d3-faf9-4aec-827e-fc834313c767,Prompt,"I don't mean to brag, but they call me the Micheal Jordan of ______.",0,0,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
0166b960-7771-43be-a77d-913b5719cf23,Prompt,"I have a strict policy. First date, dinner. Second date, kiss. Third date, ______.",0,0,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
61809090-4399-45e0-8465-7a0b179e7772,Prompt,"I work my ass off all day for this family, and this is what I come home to? ______!?",0,0,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
baefe7bf-b2b2-4d4c-b32b-3adaf7d47947,Prompt,"I'm Miss Tennessee, and if I could make the world better by changing one thing, I would get rid of ______.",0,0,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
fd736baa-a5b6-4775-920b-7e972be06419,Prompt,"I'm pretty sure I'm high right now, because I""m absolutely mesmerized by ______.",0,0,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
ddd50e57-c888-4d21-9f6b-be543766eec0,Prompt,"I'm sorry, Mrs. Chen, but there was nothing we could do. At 4:15 this morning, your son succumbed to ______.",0,0,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
ef2a0dbe-903d-4a7e-8376-efbb4a2b287b,Prompt,"I'm sorry, sir, but we don't allow ______ at the country club.",0,0,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
0adab2af-b32b-421e-ba31-d3a6ab36ea17,Prompt,"If you can't handle ______, you'd better stay away from ______.",0,2,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
a7b28320-561e-47c6-8db8-8fbb4539d3e6,Prompt,"If you had to describe the Card Czar, using only one of the cards in your hand, which one would it be?",0,0,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
a87fb57f-bf2d-4f25-ba4d-ea66b8e3a97a,Prompt,"In his farewell address, George Washington famously warned Americans about the dangers of ______.",0,0,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
0041b820-e4b8-4c9f-b86c-ad31e8d367f0,Prompt,"In his new action comedy, Jackie Chan must fend off ninjas while also dealing with ______.",0,0,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,
89febf5a-0409-44cd-b207-0628497eaadb,Prompt,"In return for my soul, the Devil promised me ______, but all I got was ______.",0,2,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
f1ee794b-283e-4cf4-b491-ec6d3e9e0346,Prompt,"In the beginning, there was ______. And the Lord said, ""Let there be ______.""",0,2,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
06500a80-d12d-4378-b561-4ce5e44e5d3e,Prompt,"In the new John Wick movie, Keanu Reeves must fend off ninjas while also dealing with ______. ",0,0,,,,,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
c03f03ba-b2b8-4e65-bb9f-5708df31e6ec,Prompt,"It lurks in the night. It hungers for flesh. This summer, no one is safe from ______.",0,0,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
2ed718c9-692b-4424-8c6a-11243c7e3bd5,Prompt,"James is a lonely boy. But when he discovers a secret door in his attic, he meets a magical new friend: ______.",0,0,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
9482a752-e7e7-4294-a742-1c17f38e95c3,Prompt,Life's pretty tough in the fast lane. That's why I never leave the house without ______.,0,0,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
f40533f9-734e-4195-b860-44d148c71743,Prompt,"Listen Gary, I like you. But if you want that corner office, you're going to have to show me ______.",0,0,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
648a5b39-94b8-4096-b82c-dd9acdfc88bb,Prompt,"Mama gets what Mama wants, and Mama wants ______.",0,0,,,,,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
871e28c0-0ae6-4ce4-81ae-64464f6f8ba0,Prompt,"Man, this is bullshit. Fuck ______.",0,0,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
ba60612a-f098-4506-abdf-d47caac21ce6,Prompt,"My grandfather worked his way up from nothing. When he came to this country, all he had was the shoes on his feet and ______.",0,0,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
1a021169-81ed-4568-aca3-aabe574c3918,Prompt,"Now in bookstores: ""The Audacity of ______"" by Barack Obama.",0,0,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,
dde99228-bbfb-443c-8331-9260dc6729a7,Prompt,"Oprah's book of the month is ""______ For ______: A Story of Hope.""",0,2,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,
4df20341-716f-4872-8f86-dfd40fe54a41,Prompt,"Parents are concerned about a new YouTube craze known as ""______ Challenge.""",0,0,,,,,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
05df8e45-cbf5-4b6c-b720-fe7180cdedf3,Prompt,Patient presents with ______. Likely a result of ______.,0,2,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
b6fcf3b1-82e2-4cfe-9162-30390f5f3bf9,Prompt,Puberty is a time of change. You might notice hair growing in new places. You might develop an intrest in ______. This is normal.,0,0,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
214289e8-996f-4dc6-af2f-1232d20a559f,Prompt,She's up all night for good fun. I'm up all night for ______.,0,0,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
561a4a0d-1d85-4287-b0eb-7d794c21dc68,Prompt,"The Japanese have developed a smaller, more efficient version of ______.",0,0,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
b4c9a355-c53a-4c16-88b5-1caffa4c9106,Prompt,"The six things I could never do without: oxygen, Facebook, chocolate, Netflix, friends, and ______ LOL!",0,0,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
dd75a6f6-a3a4-415a-8452-0ab42634ad4f,Prompt,"This is America. If you don't work hard, you don't succeed. I don't care if you're black, white, purple, or ______.",0,0,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
3f6b3a46-b40c-45d8-a2d9-0c93feb598d6,Prompt,"This is the prime of my life. I'm young, hot, and full of ______.",0,0,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
88e34c2f-c7ed-4be7-be3a-7b4b020df6ee,Prompt,"This year's hottest album is ""______"" by ______.",0,2,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
c7087024-77d1-4510-af24-691fd7a67870,Prompt,"To become a true Yanomami warrior, you must prove that you can withstand ______ without crying out.",0,0,,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
5c658e30-141c-46f9-a6be-2024230ac41d,Prompt,"To become a true Yanomamo warrior, you must prove that you can withstand ______ without crying out.",0,0,845678ac-705f-4159-bf9e-2b2b749b4ee6,,,,
e1e3ecd2-1cd6-44a4-841d-19c5b803249f,Prompt,"Tonight we will have sex. And afterwards, If you'd like, a little bit of ______.",0,0,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
b919587a-9835-4453-9838-2150658ac0c9,Prompt,"We never did find ______, but along the way we sure learned a lot about ______.",0,2,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
