uuid,name,description
1203b14b-0d08-4958-b40e-9c43b60fce08,Red Box Expansion,"A combination of the First, Second, and Third Expansions.
Released November 21, 2016. Icon: A red diamond."

uuid,edition,version,description,author,releaseDate,column
b86f3ab6-1a01-4338-986a-e7aae4c6f460,,v1.0,,,0,0
e76bbcef-c125-4557-901c-78e0ad64dfe2,,v1.1,,,0,1
4a77719b-f6ec-44c3-9f59-90442fe823d3,,v1.2,,,0,2
12992326-a6c3-45b8-b87f-c9ac85e0a464,,v1.3,,,0,3
3c5b35c0-3354-4712-b391-058b3e804d1d,,v1.4,,,0,4

uuid,suite,text,draw,pick,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
d6d083b3-7899-4ca1-a063-0d81a959f061,Prompt,"As part of his daily regimen, Anderson Cooper sets aside 15 minutes for ______.",0,0,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
9d7f356b-1968-4bd5-9a6f-51d9b32bddd9,Prompt,"Awww, sick! I just say this skater do a 720 kickflip into ______!",0,0,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
18637c1a-c3d4-42e2-ba76-35635050cb61,Prompt,"Before ______, all we had was ______.",0,2,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
a8cab537-17b6-4fe2-acf3-2fd5355e2e41,Prompt,"Before I run for president, I must destroy all evidence of my involvement with ______.",0,0,b86f3ab6-1a01-4338-986a-e7aae4c6f460,,,,
71427324-1982-4a11-97e8-6e91fc9d847f,Prompt,"Call the law offices of Goldstein & Goldstein, because no one should have to tolerate ______ in the workplace.",0,0,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
06b42c27-b240-47fb-8ca6-7aaffcbacdf0,Prompt,Charades was ruined for me forever when my mom had to act out ______.,0,0,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
1a5baeda-26d9-49e2-b8d3-7857d2365f5d,Prompt,"Dear Sir or Madam, We regret to inform you that the Office of ______ has denied your request for ______.",0,2,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,
70edbd3a-985a-4915-8bc3-15f08cbb13f4,Prompt,"Doctor, you've gone too far! The human body wasn't meant to withstand that amount of ______!",0,0,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
48f26447-b4e6-4c81-9546-98dc0e390053,Prompt,During high school I never really fit in until I found ______ club.,0,0,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
5823f6b3-78e3-4a97-817d-a965db09ae4c,Prompt,"During his midlife crisis, my dad got really into ______.",0,0,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
544cdb7f-aefa-4e94-8623-61164e8a89fd,Prompt,Finally! A service that delivers ______ right to your door.,0,0,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
a1992b31-72b4-429e-b2db-d7e8d71b9b16,Prompt,Future Historians will agree that ______ marked the beginning of America's decline.,0,0,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
23e73946-73ca-4cfa-a171-ac0e517fcef4,Prompt,Having problems with ______? Try ______!,0,2,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
c3f084da-6120-4525-829f-af9da6828aeb,Prompt,"Hey baby, come back to my place and I’ll show you ______.",0,0,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
4f0ade6f-a6a6-484a-9fb9-0749fac3f658,Prompt,I learned the hard way that you can't cheer up a grieving friend with ______.,0,0,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
a2d8f8aa-0159-4729-8824-ac3eaede01bb,Prompt,I love being a mom. But it's tough when my kids come home filthy from ______. That's why there's Tide®.,0,0,,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
318653d1-d2f5-48b9-a23d-af92e710e81e,Prompt,"I spent my whole life working toward ______, only to have it ruined by ______.",0,2,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
45fd29e4-efb5-48e7-863f-f32e781c1155,Prompt,"I went from ______ to ______, all thanks to ______.",2,3,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
c5033ea3-ad13-463a-bc0d-3518382c0537,Prompt,I’m not like the rest of you. I’m too rich and busy for ______.,0,0,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
414b5caa-5796-45dc-8649-e7d18a71c882,Prompt,"If God didn't want us to enjoy ______, he wouldn't have given us ______.",0,2,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
e6d0bf03-8aff-4b4b-ae65-aae847bd0f1c,Prompt,"In a pinch, ______ can be a suitable substitute for ______.",0,2,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,
7b4113f1-f753-406e-b877-efa5c5ba1023,Prompt,"In his new self-produced album, Kanye West raps over the sounds of ______.",0,0,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
697081e5-f239-407d-b339-ab76cb8febfc,Prompt,"In his newest and most difficult stunt, David Blaine must escape from ______.",0,0,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
50aee183-8196-4b85-bc23-bde18a69dad6,Prompt,"In Irish culture, mourners express their grief through a traditional practice of ______.",0,0,,,,,3c5b35c0-3354-4712-b391-058b3e804d1d
68428a36-0dfb-467e-88f2-6bfd9b347bf8,Prompt,"In its new tourism campaign, Detroit proudly proclaims that it has finally eliminated ______.",0,0,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
f932c9c1-e242-4c15-b378-cfce0759bbc9,Prompt,"In Rome, there are whisperings that the Vatican has a secret room devoted to ______.",0,0,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,
88553e9d-8b21-4ec7-82a9-5ab1a553ccb4,Prompt,"In the seventh circle of Hell, sinners must endure ______ for all eternity.",0,0,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
8530f24d-260e-4301-ab58-06688a9d3c49,Prompt,Legend has it Prince wouldn't perform without ______ in his dressing room.,0,0,,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
a6bbca6b-1c0f-4ca4-bb65-96ab66705a97,Prompt,"Listen, son. If you want to get involved with ______, I won’t stop you. Just steer clear of ______.",0,2,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
578eb28e-e6d4-4cda-a687-3779413ffcfa,Prompt,"Little Miss Muffet Sat on a tuffet, Eating her curds and ______.",0,0,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
7189f5de-a62d-4c00-b85a-d9ccb5f1aaa4,Prompt,Lovin’ you is easy ’cause you’re ______.,0,0,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
fde3d497-736c-4df4-8581-23cd326910a7,Prompt,Members of New York's social elite are paying thousands of dollars just to experience ______.,0,0,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
e3947502-029f-4a95-a822-e7ffe3144ecb,Prompt,Michael Bay's new three-hour action epic pits ______ against ______.,0,2,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
707690d1-9129-47bc-8117-a94f9fabad8d,Prompt,"Money can’t buy me love, but it can buy me ______.",0,0,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
3da4d560-3185-41b8-8a0c-60eb6a93e4f8,Prompt,"My country, 'tis of thee, sweet land of ______.",0,0,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
1f125f06-1fa6-42f7-bf0d-07a708fd031e,Prompt,My gym teacher got fired for adding ______ to the obstacle course.,0,0,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
7fe8abc0-b724-4f06-b1d7-9a4a5d3dabe0,Prompt,My life is ruled by a vicious cycle of ______ and ______.,0,2,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
ec044d69-e5e9-41cc-aebf-f735b624b427,Prompt,My mom freaked out when she looked at my browser history and found ______.com/______.,0,2,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
b8ca20de-530b-437b-9e38-34913ced4ad9,Prompt,"My new favorite porn star is Joey ""______"" McGee.",0,0,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
da918d36-4989-47f2-bca3-ec89fbbf6200,Prompt,My plan for world domination begins with ______.,0,0,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
c5e151eb-e663-47df-844d-7c154bacf3fd,Prompt,Next time on Dr. Phil: How to talk to your child about ______.,0,0,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
577802ad-30b2-4f89-8732-989611fa527f,Prompt,"Next week on the Discovery Channel, one man must survive in the depths of the Amazon with only ______ and his wits.",0,0,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
6cb4cf1a-3adc-4fdd-b017-c0940f44186d,Prompt,Only two things in life are certain: death and ______.,0,0,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
b4e1d333-6695-491d-b176-c70a61887842,Prompt,Science will never explain ______.,0,0,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
0c7c124b-f19c-48bc-8a2e-253b2d11b272,Prompt,The blind date was going horribly until we discovered our shared interest in ______.,0,0,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
40510936-91ae-4536-a179-8082e2538260,Prompt,The CIA now interrogates enemy agents by repeatedly subjecting them to ______.,0,0,b86f3ab6-1a01-4338-986a-e7aae4c6f460,,,,
d588f036-5e4c-43b3-99a1-65768f8dd4d0,Prompt,"The Five Stages of Grief: denial, anger, bargaining, ______, acceptance.",0,0,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
bb6e36a8-5d09-4dda-bcae-63162d3f716f,Prompt,The healing process began when I joined a support group for victims of ______.,0,0,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
909998d7-a7c3-443e-ab29-a3276bd783f3,Prompt,"The secret to a lasting marriage is communication, communication, and ______.",0,0,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
89551d98-527e-4847-9f57-23dd53731d55,Prompt,This is your captain speaking. Fasten your seatbelts and prepare for ______.,0,0,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
1014aecb-9ec4-4ee7-ac57-e1a1e47545fd,Prompt,"This month's Cosmo: ""Spice up your sex life by bringing ______ into the bedroom.""",0,0,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
2bad6189-331d-4ac4-b7e5-9d82b788f5ad,Prompt,"To prepare for his upcoming role, Daniel Day-Lewis immersed himself in the world of ______.",0,0,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
d08446e4-3d66-4625-b34c-f26e022ac5d5,Prompt,Tonight on 20/20: What you don't know about ______ could kill you.,0,0,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
e59540fe-89db-4e8d-9c2d-e65ae2220308,Prompt,Turns out that ______-Man was neither the hero we needed nor wanted.,0,0,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
92957e6b-d98e-4014-8f28-41ad908d68f7,Prompt,"Welcome to Señor Frog's! Would you like to try our signature cocktail, “______ on the Beach""?",0,0,,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
7394c53b-03d4-4d2b-893f-a77926b31538,Prompt,What brought the orgy to a grinding halt?,0,0,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
97a53b8b-a22d-47f8-98da-beb8e8640caa,Prompt,What has been making life difficult at the nudist colony?,0,0,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
6910de15-7f2a-4691-95e3-a46fcb76d9d3,Prompt,What left this stain on my couch?,0,0,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
8b179e65-b0d1-41e7-904a-a3ce95be7b99,Prompt,What makes Grandma feel young again?,0,0,,,,,3c5b35c0-3354-4712-b391-058b3e804d1d
8343609d-1c8b-4658-8f42-630237a1de21,Prompt,What makes me cry every time?,0,0,,,,,3c5b35c0-3354-4712-b391-058b3e804d1d
63cd5df6-4cef-4688-a574-c8cd053d23e4,Prompt,"What's harshing my mellow, man?",0,0,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,
