uuid,name,description
d60747fd-56b8-48cb-aebd-83f82d29e0b7,Red Box Expansion,"A combination of the First, Second, and Third Expansions.
Released November 21, 2016. Icon: A red diamond."

uuid,edition,version,description,author,releaseDate,column
7cad454e-a15c-466a-be63-e299f35d6a7c,,v1.0,,,0,0
5f9df58d-74a2-490f-acdb-c28fe299a285,,v1.1,,,0,1
44619376-a9ed-4e27-a51b-ed9e09e0566a,,v1.2,,,0,2
7608047a-c80f-4103-9b12-da479665be1c,,v1.3,,,0,3
741b4342-de40-46bd-ac2e-13539c208372,,v1.4,,,0,4

uuid,suite,text,draw,pick,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
57beca1c-ab09-4cf9-92c8-ca0fec56d170,Prompt,"Awww, sick! I just say this skater do a 720 kickflip into ______!",0,0,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
aad4909b-4c5a-47f9-a577-6ed3a3b06360,Prompt,"Before ______, all we had was ______.",0,2,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
3c8eaefa-2b3c-4164-8273-bd040d1ca568,Prompt,"Before I run for president, I must destroy all evidence of my involvement with ______.",0,0,7cad454e-a15c-466a-be63-e299f35d6a7c,,,,
943b22e1-4269-464a-933d-aac38a340158,Prompt,"Call the law offices of Goldstein & Goldstein, because no one should have to tolerate ______ in the workplace.",0,0,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
d4af4ead-2aad-4b2e-92d4-b9152c83e18c,Prompt,Charades was ruined for me forever when my mom had to act out ______.,0,0,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
4f5b5390-656e-4808-b428-74b9b3255f69,Prompt,"Dear Sir or Madam, We regret to inform you that the Office of ______ has denied your request for ______.",0,2,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,
541381e8-5e0e-4b13-9749-1bb3a007cf8c,Prompt,"Doctor, you've gone too far! The human body wasn't meant to withstand that amount of ______!",0,0,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
f0a5791c-6006-43e4-935f-1fec26e18c23,Prompt,During high school I never really fit in until I found ______ club.,0,0,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
c20cd5e8-11a1-4648-bfd6-b57de129ad60,Prompt,"During his midlife crisis, my dad got really into ______.",0,0,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
4687165e-d732-445c-ae36-22b556f3ae8b,Prompt,Finally! A service that delivers ______ right to your door.,0,0,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
fc57dc66-6e2b-411b-a94e-014a0c4d1298,Prompt,Future Historians will agree that ______ marked the beginning of America's decline.,0,0,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
e91e8782-6576-4b8e-be21-c18daafd71da,Prompt,Having problems with ______? Try ______!,0,2,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
c1e438fe-14f5-4301-8799-d07847cca39b,Prompt,"Hey baby, come back to my place and I’ll show you ______.",0,0,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
20dde077-53d3-4b15-bacc-ad10b5062164,Prompt,I learned the hard way that you can't cheer up a grieving friend with ______.,0,0,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
a6b00c4b-27e5-495b-af94-df4a4a084119,Prompt,I love being a mom. But it's tough when my kids come home filthy from ______. That's why there's Tide®.,0,0,,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
bfa6d5d2-2286-442a-ba74-917ce096dc74,Prompt,"I spent my whole life working toward ______, only to have it ruined by ______.",0,2,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
e188dd62-a383-48ff-bfb7-c89db1da4a01,Prompt,"I went from ______ to ______, all thanks to ______.",2,3,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
26c74d71-c8c1-44df-b573-ec1fae374d4c,Prompt,I’m not like the rest of you. I’m too rich and busy for ______.,0,0,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
60478472-5bdb-42a2-a9e2-28f2d0a87be1,Prompt,"If God didn't want us to enjoy ______, he wouldn't have given us ______.",0,2,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
92db9ea4-d6a8-4488-906d-b494bbcdd328,Prompt,"In a pinch, ______ can be a suitable substitute for ______.",0,2,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,
1992a14e-267e-4a61-b999-7ce0649e75bd,Prompt,"In his new self-produced album, Kanye West raps over the sounds of ______.",0,0,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
1f841aac-215b-4771-a47b-89aaa3d9c60b,Prompt,"In his newest and most difficult stunt, David Blaine must escape from ______.",0,0,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
11b634b0-0790-492a-9504-e07c67d62b29,Prompt,"In Irish culture, mourners express their grief through a traditional practice of ______.",0,0,,,,,741b4342-de40-46bd-ac2e-13539c208372
5da2f210-86a5-4546-a3c6-6663439ff72d,Prompt,"In its new tourism campaign, Detroit proudly proclaims that it has finally eliminated ______.",0,0,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
61ce6c31-e925-4142-b369-673ee5689790,Prompt,"In Rome, there are whisperings that the Vatican has a secret room devoted to ______.",0,0,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,
24049e1e-d8c6-4e10-ac1a-3dd2f7ee3cac,Prompt,"In the seventh circle of Hell, sinners must endure ______ for all eternity.",0,0,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
368dcc76-3a49-4539-afe7-45b66f4b384b,Prompt,Legend has it Prince wouldn't perform without ______ in his dressing room.,0,0,,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
3b75c45b-ea59-4e55-8507-5cfd1ff95600,Prompt,"Listen, son. If you want to get involved with ______, I won’t stop you. Just steer clear of ______.",0,2,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
222ba40e-6dbc-4588-914d-a2c5f6329e20,Prompt,"Little Miss Muffet Sat on a tuffet, Eating her curds and ______.",0,0,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
41589352-4b2c-447d-8cc0-cca5e6658eef,Prompt,Lovin’ you is easy ’cause you’re ______.,0,0,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
74024ddc-c08b-4020-bec8-354f0ce4bc5c,Prompt,Members of New York's social elite are paying thousands of dollars just to experience ______.,0,0,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
3f9240fe-9787-4f44-868c-b0c0deb93c95,Prompt,Michael Bay's new three-hour action epic pits ______ against ______.,0,2,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
116eaa38-e14f-420a-aae5-25921d209300,Prompt,"Money can’t buy me love, but it can buy me ______.",0,0,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
953f3cdc-a463-4ce1-b3c2-bda8ea516a07,Prompt,"My country, 'tis of thee, sweet land of ______.",0,0,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
c41906ee-b6c0-4808-bbae-8c29e8703999,Prompt,My gym teacher got fired for adding ______ to the obstacle course.,0,0,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
e8ff0d2d-b83e-455f-8d18-56c514ea641b,Prompt,My life is ruled by a vicious cycle of ______ and ______.,0,2,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
12dd4522-6c68-414e-a06f-e42f0c2080a4,Prompt,My mom freaked out when she looked at my browser history and found ______.com/______.,0,2,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
eeef4ff0-d789-497e-8ef8-e56147c27e68,Prompt,"My new favorite porn star is Joey ""______"" McGee.",0,0,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
5cb66641-f1fc-41b5-ae87-6e9bea365b2d,Prompt,My plan for world domination begins with ______.,0,0,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
b73a4899-24f4-4e64-8801-38bc8bb36555,Prompt,Next time on Dr. Phil: How to talk to your child about ______.,0,0,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
54e14d67-4d40-4126-8d9c-17ad43dde5a1,Prompt,"Next week on the Discovery Channel, one man must survive in the depths of the Amazon with only ______ and his wits.",0,0,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
62cfa8f3-34b5-4746-8ca5-c6268399c13b,Prompt,Only two things in life are certain: death and ______.,0,0,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
0d30adbd-9097-4ddd-97b1-3e0bc8cfb3d8,Prompt,Science will never explain ______.,0,0,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
e6386811-d945-4afa-bc1c-73d95a3b102a,Prompt,The blind date was going horribly until we discovered our shared interest in ______.,0,0,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
f613c029-650a-43e8-b153-d9ebde61004f,Prompt,The CIA now interrogates enemy agents by repeatedly subjecting them to ______.,0,0,7cad454e-a15c-466a-be63-e299f35d6a7c,,,,
f8377c59-da71-41ae-8dfa-e7d713403036,Prompt,"The Five Stages of Grief: denial, anger, bargaining, ______, acceptance.",0,0,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
acc9fe9e-11de-4aab-a69a-cc377e35dd52,Prompt,The healing process began when I joined a support group for victims of ______.,0,0,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
1e99f09d-7845-4d22-9c29-0113b5adcbbf,Prompt,"The secret to a lasting marriage is communication, communication, and ______.",0,0,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
18a547e5-dfb7-4aa4-8207-741e41f647e1,Prompt,This is your captain speaking. Fasten your seatbelts and prepare for ______.,0,0,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
779702c5-c10e-4bb1-8325-fb3c300882fe,Prompt,"This month's Cosmo: ""Spice up your sex life by bringing ______ into the bedroom.""",0,0,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
45dfc3e8-e5bc-4e81-b55d-ecc9c4e4c6f6,Prompt,"To prepare for his upcoming role, Daniel Day-Lewis immersed himself in the world of ______.",0,0,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
cd1f2d58-5d66-482a-b4c3-abe83ff44e7b,Prompt,Tonight on 20/20: What you don't know about ______ could kill you.,0,0,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
4611b251-0869-48ed-a1e4-305fa51d46e1,Prompt,Turns out that ______-Man was neither the hero we needed nor wanted.,0,0,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
c15a2cab-fc8d-4f7a-b119-f593c843f538,Prompt,"Welcome to Señor Frog's! Would you like to try our signature cocktail, “______ on the Beach""?",0,0,,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
e48ea0ce-cd0b-41ed-a0ac-98983f637494,Prompt,What brought the orgy to a grinding halt?,0,0,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
3d78cfa5-9f35-4373-87d7-b94311473d9a,Prompt,What has been making life difficult at the nudist colony?,0,0,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
b60350bb-af4c-485c-a587-00e3c847ed09,Prompt,What left this stain on my couch?,0,0,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
f4884aa7-b140-42f7-896d-3c9b64913cc8,Prompt,What makes Grandma feel young again?,0,0,,,,,741b4342-de40-46bd-ac2e-13539c208372
cadd282a-0822-489a-8086-9902090a02b1,Prompt,What makes me cry every time?,0,0,,,,,741b4342-de40-46bd-ac2e-13539c208372
15df3b84-7984-408b-b4fb-f1b96cb3e82b,Prompt,"What's harshing my mellow, man?",0,0,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,
76b6c88b-d89d-41bd-a984-a71662e4d2c5,Prompt,"When all else fails, I can always masturbate to ______.",0,0,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
efe71d64-4c92-45f2-b2b5-1131ee073272,Prompt,"When I pooped, what came out of my butt?",0,0,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
5d02f458-683f-4ec5-87e0-4697e42b5c58,Prompt,When the dog bites / When the bee stings / When I'm feeling sad / I simply remember ______ / And then I don't feel so bad.,0,0,,,,,741b4342-de40-46bd-ac2e-13539c208372
d69fd10f-88ae-4a72-b114-840b9aad534e,Prompt,"When you get right down to it, ______ is just ______.",0,2,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
