uuid,name,description
6fc49c57-3285-43c2-be26-fb1167458b7b,Fantasy Pack,"A pack co-written with make-believers Pat Rothfuss, Neil Gaiman, Sam Sykes, Myke Cole, Jacqueline Carey, Martha Wells, Sherwood Smith, Elizabeth Bear, and Wesley Chu. Released November 19, 2015. Icon: A Hitachi Magic Wand.
"

uuid,edition,version,description,author,releaseDate,column
f3eb804d-065f-46e4-84fe-b2cf740dcf16,,v1.0,,,0,0
f2424ee0-1569-401b-9d19-94cf450955af,,v1.1,,,0,1
c5af1547-747a-4397-a508-c50e78a5e50c,,v1.2,,,0,2
c714b27c-3e5e-4f1b-9bf2-cd11befceb9f,,v1.3,,,0,3

uuid,suite,text,draw,pick,f3eb804d-065f-46e4-84fe-b2cf740dcf16,f2424ee0-1569-401b-9d19-94cf450955af,c5af1547-747a-4397-a508-c50e78a5e50c,c714b27c-3e5e-4f1b-9bf2-cd11befceb9f
2c0533a7-3f92-4d96-962b-321e018357ff,Response,Gender equality.,0,0,f3eb804d-065f-46e4-84fe-b2cf740dcf16,f2424ee0-1569-401b-9d19-94cf450955af,c5af1547-747a-4397-a508-c50e78a5e50c,c714b27c-3e5e-4f1b-9bf2-cd11befceb9f
a74f7746-d5f0-4c99-bf32-3fb54bdb47d7,Response,Going on an epic adventure and learning a valuable lesson about friendship.,0,0,f3eb804d-065f-46e4-84fe-b2cf740dcf16,f2424ee0-1569-401b-9d19-94cf450955af,c5af1547-747a-4397-a508-c50e78a5e50c,c714b27c-3e5e-4f1b-9bf2-cd11befceb9f
5501adac-e42e-48b5-91cf-016c91ca232c,Response,Handcuffing a wizard to a radiator and dousing him with kerosene.,0,0,f3eb804d-065f-46e4-84fe-b2cf740dcf16,f2424ee0-1569-401b-9d19-94cf450955af,c5af1547-747a-4397-a508-c50e78a5e50c,c714b27c-3e5e-4f1b-9bf2-cd11befceb9f
263636b7-a891-4d0a-80cd-c7f629317063,Response,Hodor.,0,0,f3eb804d-065f-46e4-84fe-b2cf740dcf16,f2424ee0-1569-401b-9d19-94cf450955af,c5af1547-747a-4397-a508-c50e78a5e50c,
4a82a490-15e7-4a07-a035-d01baf115763,Response,How hot Orlando Bloom was in Lord of the Rings.,0,0,f3eb804d-065f-46e4-84fe-b2cf740dcf16,f2424ee0-1569-401b-9d19-94cf450955af,c5af1547-747a-4397-a508-c50e78a5e50c,c714b27c-3e5e-4f1b-9bf2-cd11befceb9f
535f4943-8bdc-480b-a478-d0510ea51d95,Response,Kneeing a wizard in the balls.,0,0,f3eb804d-065f-46e4-84fe-b2cf740dcf16,f2424ee0-1569-401b-9d19-94cf450955af,c5af1547-747a-4397-a508-c50e78a5e50c,c714b27c-3e5e-4f1b-9bf2-cd11befceb9f
99dbf68c-9805-4b6c-8808-073f284531d1,Response,Make-believe stories for autistic white men.,0,0,f3eb804d-065f-46e4-84fe-b2cf740dcf16,f2424ee0-1569-401b-9d19-94cf450955af,,
a808b2c1-6481-48fc-be24-ea6185c13603,Response,Reading The Hobbit under the covers while mom and dad scream at each other downstairs.,0,0,f3eb804d-065f-46e4-84fe-b2cf740dcf16,f2424ee0-1569-401b-9d19-94cf450955af,c5af1547-747a-4397-a508-c50e78a5e50c,c714b27c-3e5e-4f1b-9bf2-cd11befceb9f
8e8ff00a-d294-43fb-8866-8a95c23f6772,Response,Shitting in a wizard's spell book and jizzing in his hat.,0,0,f3eb804d-065f-46e4-84fe-b2cf740dcf16,f2424ee0-1569-401b-9d19-94cf450955af,c5af1547-747a-4397-a508-c50e78a5e50c,c714b27c-3e5e-4f1b-9bf2-cd11befceb9f
e0fa324f-161a-403d-b45f-27ebc7339334,Response,Shooting a wizard with a gun.,0,0,f3eb804d-065f-46e4-84fe-b2cf740dcf16,f2424ee0-1569-401b-9d19-94cf450955af,c5af1547-747a-4397-a508-c50e78a5e50c,c714b27c-3e5e-4f1b-9bf2-cd11befceb9f
d1047921-d934-490a-975f-8036bf492919,Response,The all-seeing Eye of Sauron.,0,0,f3eb804d-065f-46e4-84fe-b2cf740dcf16,f2424ee0-1569-401b-9d19-94cf450955af,c5af1547-747a-4397-a508-c50e78a5e50c,c714b27c-3e5e-4f1b-9bf2-cd11befceb9f
d3acef62-ab33-4635-9a48-e79540d838f9,Response,"The bond of brotherhood forged in battle, unbreakable and eternal.",0,0,,,,c714b27c-3e5e-4f1b-9bf2-cd11befceb9f
b3a96d1c-de9b-4a54-99cf-5ccf37814aac,Response,"The card Neil Gaiman wrote: ""Three elves at a time.""",0,0,f3eb804d-065f-46e4-84fe-b2cf740dcf16,f2424ee0-1569-401b-9d19-94cf450955af,c5af1547-747a-4397-a508-c50e78a5e50c,
5908686c-8e8f-4a72-b133-cf5c4ccae9cc,Response,"Ticketmaster, LORD of Tickets, ENFORCER of Surcharges, DENIER of Refunds!",0,0,,,,c714b27c-3e5e-4f1b-9bf2-cd11befceb9f
0e3f27be-db9d-4cb4-b19c-c017506912e6,Response,True love's kiss.,0,0,f3eb804d-065f-46e4-84fe-b2cf740dcf16,f2424ee0-1569-401b-9d19-94cf450955af,c5af1547-747a-4397-a508-c50e78a5e50c,c714b27c-3e5e-4f1b-9bf2-cd11befceb9f
