uuid,name,description
c6530f95-6c78-450d-9ad2-3ba344293526,Cards Against Humanity: First Expansion,"Released November 7, 2011. Discontinued as of November 21, 2016 as a separate expansion. Still available for purchase while supplies last. This expansion has been incorporated into the Red Box Expansion. Icon: The number ""1"". "

uuid,edition,version,description,author,releaseDate,column
3e531359-4c33-4d9a-94e5-5b83678a7dc1,,v1.0,,,0,0
6cea8fa2-ec00-420b-9bec-1facd0c5cfda,,v1.1,,,0,1
10c37bdd-20bb-445e-9b60-da9c0070d174,,v1.2,,,0,2
33602970-bb2e-4604-86e9-0afb0fe0a4ef,,v1.3,,,0,3
713013e1-39c8-4d3b-bd80-4e77803d393a,,v1.4,,,0,4
74484a7f-a726-440d-a9ee-810fc5d8cfa5,,v1.5,,,0,5
4b247a89-8bff-4fc9-90e6-2216334be2c1,,v1.6,,,0,6

uuid,suite,text,draw,pick,3e531359-4c33-4d9a-94e5-5b83678a7dc1,6cea8fa2-ec00-420b-9bec-1facd0c5cfda,10c37bdd-20bb-445e-9b60-da9c0070d174,33602970-bb2e-4604-86e9-0afb0fe0a4ef,713013e1-39c8-4d3b-bd80-4e77803d393a,74484a7f-a726-440d-a9ee-810fc5d8cfa5,4b247a89-8bff-4fc9-90e6-2216334be2c1
ef373a8d-4890-4a1a-bb6a-83264e991ca6,Prompt,"When all else fails, I can always masturbate to ______.",0,0,3e531359-4c33-4d9a-94e5-5b83678a7dc1,6cea8fa2-ec00-420b-9bec-1facd0c5cfda,10c37bdd-20bb-445e-9b60-da9c0070d174,33602970-bb2e-4604-86e9-0afb0fe0a4ef,713013e1-39c8-4d3b-bd80-4e77803d393a,74484a7f-a726-440d-a9ee-810fc5d8cfa5,4b247a89-8bff-4fc9-90e6-2216334be2c1
9821b47c-f65d-426e-abf7-92baffce4cfa,Prompt,"When I pooped, what came out of my butt?",0,0,3e531359-4c33-4d9a-94e5-5b83678a7dc1,6cea8fa2-ec00-420b-9bec-1facd0c5cfda,10c37bdd-20bb-445e-9b60-da9c0070d174,33602970-bb2e-4604-86e9-0afb0fe0a4ef,713013e1-39c8-4d3b-bd80-4e77803d393a,74484a7f-a726-440d-a9ee-810fc5d8cfa5,4b247a89-8bff-4fc9-90e6-2216334be2c1
670f16b3-e471-4926-b8c2-485032771436,Response,24-hour media coverage.,0,0,3e531359-4c33-4d9a-94e5-5b83678a7dc1,6cea8fa2-ec00-420b-9bec-1facd0c5cfda,,33602970-bb2e-4604-86e9-0afb0fe0a4ef,,74484a7f-a726-440d-a9ee-810fc5d8cfa5,4b247a89-8bff-4fc9-90e6-2216334be2c1
ea47bf4c-59ff-453a-9d2b-461693b7cea3,Response,A beached whale.,0,0,3e531359-4c33-4d9a-94e5-5b83678a7dc1,6cea8fa2-ec00-420b-9bec-1facd0c5cfda,10c37bdd-20bb-445e-9b60-da9c0070d174,33602970-bb2e-4604-86e9-0afb0fe0a4ef,,,
480bd36a-10cd-4cc1-ba12-c933913ef5ee,Response,A big black dick.,0,0,3e531359-4c33-4d9a-94e5-5b83678a7dc1,6cea8fa2-ec00-420b-9bec-1facd0c5cfda,10c37bdd-20bb-445e-9b60-da9c0070d174,33602970-bb2e-4604-86e9-0afb0fe0a4ef,713013e1-39c8-4d3b-bd80-4e77803d393a,74484a7f-a726-440d-a9ee-810fc5d8cfa5,4b247a89-8bff-4fc9-90e6-2216334be2c1
f79d3706-8910-425a-82d3-abc1f07a2df0,Response,A bloody pacifier.,0,0,3e531359-4c33-4d9a-94e5-5b83678a7dc1,6cea8fa2-ec00-420b-9bec-1facd0c5cfda,10c37bdd-20bb-445e-9b60-da9c0070d174,33602970-bb2e-4604-86e9-0afb0fe0a4ef,713013e1-39c8-4d3b-bd80-4e77803d393a,74484a7f-a726-440d-a9ee-810fc5d8cfa5,4b247a89-8bff-4fc9-90e6-2216334be2c1
b5828d8a-9f6b-485e-8a2a-341c2aa6a2e3,Response,A crappy little hand.,0,0,3e531359-4c33-4d9a-94e5-5b83678a7dc1,6cea8fa2-ec00-420b-9bec-1facd0c5cfda,10c37bdd-20bb-445e-9b60-da9c0070d174,33602970-bb2e-4604-86e9-0afb0fe0a4ef,713013e1-39c8-4d3b-bd80-4e77803d393a,74484a7f-a726-440d-a9ee-810fc5d8cfa5,4b247a89-8bff-4fc9-90e6-2216334be2c1
6735b657-b490-4ff8-8b5a-8de4567c060c,Response,A fat bald man from the internet.,0,0,,,,,713013e1-39c8-4d3b-bd80-4e77803d393a,74484a7f-a726-440d-a9ee-810fc5d8cfa5,4b247a89-8bff-4fc9-90e6-2216334be2c1
6b14f170-b4ff-4be5-a6ef-918dca7616bb,Response,A Japanese tourist who wants something very badly but cannot communicate it.,0,0,,,,,,,4b247a89-8bff-4fc9-90e6-2216334be2c1
8a65ca34-ca82-4bd9-a805-a8222035c18e,Response,A low standard of living.,0,0,3e531359-4c33-4d9a-94e5-5b83678a7dc1,6cea8fa2-ec00-420b-9bec-1facd0c5cfda,10c37bdd-20bb-445e-9b60-da9c0070d174,33602970-bb2e-4604-86e9-0afb0fe0a4ef,713013e1-39c8-4d3b-bd80-4e77803d393a,74484a7f-a726-440d-a9ee-810fc5d8cfa5,4b247a89-8bff-4fc9-90e6-2216334be2c1
6c5ba762-9df1-4808-a9a3-481a4b19ce75,Response,A nuanced critique.,0,0,3e531359-4c33-4d9a-94e5-5b83678a7dc1,6cea8fa2-ec00-420b-9bec-1facd0c5cfda,10c37bdd-20bb-445e-9b60-da9c0070d174,33602970-bb2e-4604-86e9-0afb0fe0a4ef,713013e1-39c8-4d3b-bd80-4e77803d393a,74484a7f-a726-440d-a9ee-810fc5d8cfa5,4b247a89-8bff-4fc9-90e6-2216334be2c1
ca3ceb11-550e-4bc9-9793-dfd986995faf,Response,A panty raid.,0,0,3e531359-4c33-4d9a-94e5-5b83678a7dc1,6cea8fa2-ec00-420b-9bec-1facd0c5cfda,10c37bdd-20bb-445e-9b60-da9c0070d174,,713013e1-39c8-4d3b-bd80-4e77803d393a,,
941a6d9b-a247-4578-85d4-ffa91f7b4667,Response,A passionate Latino lover.,0,0,3e531359-4c33-4d9a-94e5-5b83678a7dc1,6cea8fa2-ec00-420b-9bec-1facd0c5cfda,10c37bdd-20bb-445e-9b60-da9c0070d174,33602970-bb2e-4604-86e9-0afb0fe0a4ef,713013e1-39c8-4d3b-bd80-4e77803d393a,74484a7f-a726-440d-a9ee-810fc5d8cfa5,4b247a89-8bff-4fc9-90e6-2216334be2c1
8c37b3b0-d61e-4f3d-b879-bd0c8b273db3,Response,A plunger to the face.,0,0,,,10c37bdd-20bb-445e-9b60-da9c0070d174,33602970-bb2e-4604-86e9-0afb0fe0a4ef,713013e1-39c8-4d3b-bd80-4e77803d393a,74484a7f-a726-440d-a9ee-810fc5d8cfa5,4b247a89-8bff-4fc9-90e6-2216334be2c1
d601861c-0ba5-4cbd-a498-ae8f75e72756,Response,A rival dojo.,0,0,3e531359-4c33-4d9a-94e5-5b83678a7dc1,6cea8fa2-ec00-420b-9bec-1facd0c5cfda,10c37bdd-20bb-445e-9b60-da9c0070d174,33602970-bb2e-4604-86e9-0afb0fe0a4ef,713013e1-39c8-4d3b-bd80-4e77803d393a,74484a7f-a726-440d-a9ee-810fc5d8cfa5,
1f0a3006-4133-4b25-a61a-ed943d1a028c,Response,"A smiling black man, a latina businesswoman, a cool Asian, and some whites.",0,0,,,,33602970-bb2e-4604-86e9-0afb0fe0a4ef,713013e1-39c8-4d3b-bd80-4e77803d393a,74484a7f-a726-440d-a9ee-810fc5d8cfa5,4b247a89-8bff-4fc9-90e6-2216334be2c1
06f851c1-cb03-4bf2-92e7-4acecfbb0e1a,Response,A web of lies.,0,0,3e531359-4c33-4d9a-94e5-5b83678a7dc1,6cea8fa2-ec00-420b-9bec-1facd0c5cfda,10c37bdd-20bb-445e-9b60-da9c0070d174,33602970-bb2e-4604-86e9-0afb0fe0a4ef,713013e1-39c8-4d3b-bd80-4e77803d393a,74484a7f-a726-440d-a9ee-810fc5d8cfa5,4b247a89-8bff-4fc9-90e6-2216334be2c1
ae7a5130-74ff-4bc9-9083-d2a61a18390c,Response,A woman scorned.,0,0,3e531359-4c33-4d9a-94e5-5b83678a7dc1,6cea8fa2-ec00-420b-9bec-1facd0c5cfda,10c37bdd-20bb-445e-9b60-da9c0070d174,,,,
e22dcfc7-a4d5-49a8-9883-007731c3f26f,Response,An atomic wedgie.,0,0,3e531359-4c33-4d9a-94e5-5b83678a7dc1,6cea8fa2-ec00-420b-9bec-1facd0c5cfda,10c37bdd-20bb-445e-9b60-da9c0070d174,,713013e1-39c8-4d3b-bd80-4e77803d393a,,
26388bfa-a5d6-4ee1-b5d5-d8282e90bc80,Response,An Etsy steampunk strap-on.,0,0,,,,,,74484a7f-a726-440d-a9ee-810fc5d8cfa5,4b247a89-8bff-4fc9-90e6-2216334be2c1
e4673726-0af6-4eb9-a1c3-e3c4fe115634,Response,An evil man in evil clothes.,0,0,,,,,,74484a7f-a726-440d-a9ee-810fc5d8cfa5,4b247a89-8bff-4fc9-90e6-2216334be2c1
a3114079-3a30-4984-97cd-7face3b823ff,Response,"André the Giant's enormous, leathery scrotum.",0,0,,,,,,74484a7f-a726-440d-a9ee-810fc5d8cfa5,4b247a89-8bff-4fc9-90e6-2216334be2c1
d3d39db5-9960-4e0d-a21e-f289e5bc23df,Response,Apologizing.,0,0,3e531359-4c33-4d9a-94e5-5b83678a7dc1,6cea8fa2-ec00-420b-9bec-1facd0c5cfda,10c37bdd-20bb-445e-9b60-da9c0070d174,33602970-bb2e-4604-86e9-0afb0fe0a4ef,713013e1-39c8-4d3b-bd80-4e77803d393a,,
b8e475d8-1848-4179-99cd-30f51d46d98c,Response,Appreciative snapping.,0,0,3e531359-4c33-4d9a-94e5-5b83678a7dc1,6cea8fa2-ec00-420b-9bec-1facd0c5cfda,,,,,
3e11c489-5a9f-4610-80c8-db265f5800ed,Response,Ashton Kutcher.,0,0,3e531359-4c33-4d9a-94e5-5b83678a7dc1,6cea8fa2-ec00-420b-9bec-1facd0c5cfda,10c37bdd-20bb-445e-9b60-da9c0070d174,,713013e1-39c8-4d3b-bd80-4e77803d393a,,
837fc654-6497-4412-9c51-ba865e26e9d1,Response,Beating your wives.,0,0,3e531359-4c33-4d9a-94e5-5b83678a7dc1,6cea8fa2-ec00-420b-9bec-1facd0c5cfda,10c37bdd-20bb-445e-9b60-da9c0070d174,33602970-bb2e-4604-86e9-0afb0fe0a4ef,713013e1-39c8-4d3b-bd80-4e77803d393a,,
71a4a64a-ddef-4725-80a5-bc222642d10e,Response,Being a busy adult with many important things to do.,0,0,3e531359-4c33-4d9a-94e5-5b83678a7dc1,6cea8fa2-ec00-420b-9bec-1facd0c5cfda,,33602970-bb2e-4604-86e9-0afb0fe0a4ef,713013e1-39c8-4d3b-bd80-4e77803d393a,74484a7f-a726-440d-a9ee-810fc5d8cfa5,4b247a89-8bff-4fc9-90e6-2216334be2c1
8242dcec-f5ac-469a-8c0b-62672170e5ae,Response,Being a dinosaur.,0,0,3e531359-4c33-4d9a-94e5-5b83678a7dc1,6cea8fa2-ec00-420b-9bec-1facd0c5cfda,10c37bdd-20bb-445e-9b60-da9c0070d174,33602970-bb2e-4604-86e9-0afb0fe0a4ef,713013e1-39c8-4d3b-bd80-4e77803d393a,74484a7f-a726-440d-a9ee-810fc5d8cfa5,4b247a89-8bff-4fc9-90e6-2216334be2c1
b5842e4f-b350-4a7f-a633-28d9e157d661,Response,"Big Bird's brown, crusty asshole.",0,0,,,,,,,4b247a89-8bff-4fc9-90e6-2216334be2c1
cc886455-63d3-4e7d-861f-1b41e863e058,Response,Blaxploitation.,0,0,3e531359-4c33-4d9a-94e5-5b83678a7dc1,6cea8fa2-ec00-420b-9bec-1facd0c5cfda,10c37bdd-20bb-445e-9b60-da9c0070d174,,713013e1-39c8-4d3b-bd80-4e77803d393a,,
cbeff351-8592-4bc0-9382-de074e144df3,Response,Bosnian chicken farmers.,0,0,3e531359-4c33-4d9a-94e5-5b83678a7dc1,6cea8fa2-ec00-420b-9bec-1facd0c5cfda,10c37bdd-20bb-445e-9b60-da9c0070d174,33602970-bb2e-4604-86e9-0afb0fe0a4ef,713013e1-39c8-4d3b-bd80-4e77803d393a,74484a7f-a726-440d-a9ee-810fc5d8cfa5,4b247a89-8bff-4fc9-90e6-2216334be2c1
b5ceb937-1234-40c3-9f57-951addb8dbfb,Response,Breaking nip slip news.,0,0,3e531359-4c33-4d9a-94e5-5b83678a7dc1,6cea8fa2-ec00-420b-9bec-1facd0c5cfda,10c37bdd-20bb-445e-9b60-da9c0070d174,,713013e1-39c8-4d3b-bd80-4e77803d393a,,
77ef3cf7-f60f-41b2-9035-bf04e51d95f2,Response,Carnies.,0,0,3e531359-4c33-4d9a-94e5-5b83678a7dc1,6cea8fa2-ec00-420b-9bec-1facd0c5cfda,10c37bdd-20bb-445e-9b60-da9c0070d174,33602970-bb2e-4604-86e9-0afb0fe0a4ef,713013e1-39c8-4d3b-bd80-4e77803d393a,74484a7f-a726-440d-a9ee-810fc5d8cfa5,
6e410109-68b4-44d0-a93f-1b60c0ba173a,Response,Clams.,0,0,3e531359-4c33-4d9a-94e5-5b83678a7dc1,6cea8fa2-ec00-420b-9bec-1facd0c5cfda,10c37bdd-20bb-445e-9b60-da9c0070d174,33602970-bb2e-4604-86e9-0afb0fe0a4ef,713013e1-39c8-4d3b-bd80-4e77803d393a,74484a7f-a726-440d-a9ee-810fc5d8cfa5,4b247a89-8bff-4fc9-90e6-2216334be2c1
61b9646f-86f3-4d72-b5b0-ec7cd4f97909,Response,Clenched butt cheeks.,0,0,3e531359-4c33-4d9a-94e5-5b83678a7dc1,,10c37bdd-20bb-445e-9b60-da9c0070d174,33602970-bb2e-4604-86e9-0afb0fe0a4ef,713013e1-39c8-4d3b-bd80-4e77803d393a,74484a7f-a726-440d-a9ee-810fc5d8cfa5,4b247a89-8bff-4fc9-90e6-2216334be2c1
58d73ffe-9af4-4a12-b279-c7aafb3acbda,Response,Converting to Islam.,0,0,,,,,,,4b247a89-8bff-4fc9-90e6-2216334be2c1
b5043482-59c4-4c73-ae40-06a77120cf7f,Response,Coughing into a vagina.,0,0,3e531359-4c33-4d9a-94e5-5b83678a7dc1,6cea8fa2-ec00-420b-9bec-1facd0c5cfda,10c37bdd-20bb-445e-9b60-da9c0070d174,33602970-bb2e-4604-86e9-0afb0fe0a4ef,713013e1-39c8-4d3b-bd80-4e77803d393a,,
a337eb94-99cc-42fb-af2f-eedd66802504,Response,Cutting.,0,0,3e531359-4c33-4d9a-94e5-5b83678a7dc1,6cea8fa2-ec00-420b-9bec-1facd0c5cfda,10c37bdd-20bb-445e-9b60-da9c0070d174,,713013e1-39c8-4d3b-bd80-4e77803d393a,,
a01ae1c2-1a67-4802-a273-16582904a832,Response,Dancing with a broom.,0,0,3e531359-4c33-4d9a-94e5-5b83678a7dc1,6cea8fa2-ec00-420b-9bec-1facd0c5cfda,,,,,
74ed487e-e920-4a0e-a6f3-e9e8ec3904b1,Response,Deflowering a princess.,0,0,3e531359-4c33-4d9a-94e5-5b83678a7dc1,6cea8fa2-ec00-420b-9bec-1facd0c5cfda,10c37bdd-20bb-445e-9b60-da9c0070d174,,,,
6bc536be-fdef-4534-96cb-e006da8e7c19,Response,Deflowering the princess.,0,0,,,,33602970-bb2e-4604-86e9-0afb0fe0a4ef,713013e1-39c8-4d3b-bd80-4e77803d393a,74484a7f-a726-440d-a9ee-810fc5d8cfa5,4b247a89-8bff-4fc9-90e6-2216334be2c1
437719fa-fc50-48ac-93b7-09d038b1d307,Response,Dorito breath.,0,0,3e531359-4c33-4d9a-94e5-5b83678a7dc1,6cea8fa2-ec00-420b-9bec-1facd0c5cfda,10c37bdd-20bb-445e-9b60-da9c0070d174,33602970-bb2e-4604-86e9-0afb0fe0a4ef,713013e1-39c8-4d3b-bd80-4e77803d393a,74484a7f-a726-440d-a9ee-810fc5d8cfa5,4b247a89-8bff-4fc9-90e6-2216334be2c1
