uuid,name,description
8998cb3a-e046-49bd-b1d7-ceda5d38737a,Cards Against Humanity: Second Expansion,"Released August 31, 2012. Discontinued as of November 21, 2016 as a separate expansion. Still available for purchase while supplies last. This expansion has been incorporated into the Red Box Expansion. Icon: The number ""2"". "

uuid,edition,version,description,author,releaseDate,column
3d591600-3b72-467e-9627-a18a068d6fe4,,v1.0,,,0,0
79e9a673-b526-4811-a879-fa7abc68bba9,,v1.1,,,0,1
64fa2654-c23d-4305-ba10-318657327dea,,v1.2,,,0,2
84dc0674-5696-4c5b-88d6-306b2d547a63,,v1.3,,,0,3
75bc6494-1a88-4e8c-8520-bb6403b5e9cb,,v1.4,,,0,4

uuid,suite,text,draw,pick,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
5bdb3880-2284-4ec7-9a77-8b0898de357e,Prompt,Only two things in life are certain: death and ______.,0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
c8202294-4334-4916-b4af-ed42214f8521,Prompt,"The Five Stages of Grief: denial, anger, bargaining, ______, acceptance.",0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
8dd3d5b9-6985-4a9f-82be-f4bc127eb0e5,Prompt,The healing process began when I joined a support group for victims of ______.,0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
fe0f73b1-137c-4636-b494-32529bc66e0e,Prompt,"The votes are in, and the new high school mascot is ______.",0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,,
4fc602a0-ed56-4d92-88ec-2f50ed531e3d,Prompt,This is your captain speaking. Fasten your seatbelts and prepare for ______.,0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
0243db65-b91b-4e21-87ec-11fa6b7853cf,Prompt,"This month's Cosmo: ""Spice up your sex life by bringing ______ into the bedroom.""",0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
7ef7879a-f4ef-4ef7-a3c8-f39264ef8ac4,Prompt,Tonight on 20/20: What you don't know about ______ could kill you.,0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
a5462509-6343-43a5-8b80-11e6325af82a,Prompt,"What's harshing my mellow, man?",0,0,,,,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
ad1e2349-2112-44a0-a402-06235604d7fd,Prompt,You haven't truly lived until you've experienced ______ and ______ at the same time.,0,2,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
2d114e67-c8f6-41dd-a156-d00a17bff48e,Prompt,"Your persistence is admirable, my dear Prince. But you cannot win my heart with ______ alone.",0,0,,,,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
7847c579-dc6f-48f7-b0c5-8d51550dafdd,Response,A 55-gallon drum of lube.,0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
82976ca3-a584-413f-a621-ee021eb6b58b,Response,"A bigger, blacker dick.",0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
706b8d48-1074-4910-9783-a48828f7bd9f,Response,A Burmese tiger pit.,0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
74b65a78-ee55-44bb-9730-8e1bb991bc42,Response,A dollop of sour cream.,0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
b4226577-d090-4c6b-b645-fbefd730435e,Response,A fortuitous turnip harvest.,0,0,,,,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
edd20e53-2eb3-4925-bf97-96d5a6486819,Response,A magic hippie love cloud.,0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
5bb82c8a-249b-4805-bd8b-45c9982ee362,Response,A man in yoga pants with a ponytail and feather earrings.,0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
213c2266-2a82-4905-bd29-72c1ab14227d,Response,A piñata full of scorpions.,0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
e9de93ed-fcd5-4111-912d-998b57860ee8,Response,A sad fat dragon with no friends.,0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
01458f11-8189-40ef-8c3b-282503edec30,Response,A slightly shittier parallel universe.,0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
ad9f850f-f22c-4061-b157-6777dcbf0a7e,Response,"A sofa that says “I have style, but I like to be comfortable.”",0,0,,,,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
d04c7d7e-f90c-4861-8df5-620f83bf1fb4,Response,"A soulful rendition of ""Ol' Man River.""",0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,
7b6043ef-73ca-43ea-9f36-ecc312e17c9f,Response,A squadron of moles wearing aviator goggles.,0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
945f8123-a976-46cb-881e-5aed75e157c5,Response,"A sweaty, panting leather daddy.",0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
1f9ca172-3726-4645-a3d3-200abee6c6d1,Response,A sweet spaceship.,0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
67b8afaa-3700-45f7-b5e5-f49a88a9e452,Response,All of this blood.,0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
ae36afc0-51ce-4ac0-8266-00fdbf6d8987,Response,An army of skeletons.,0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
8e2c6118-07ed-411b-8d1f-cfe71683bd55,Response,An ether-soaked rag.,0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
9eb14cf8-62a2-4853-9914-2aca60fd830c,Response,An unhinged ferris wheel rolling toward the sea.,0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
7b30f6ea-52e3-45f9-bdf1-9207e859b6f1,Response,Another shot of morphine.,0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
1e342093-2f3f-4d1d-8cc2-bfb71141988a,Response,Basic human decency.,0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
9691e49c-8ae9-475a-937a-b5f45e3070db,Response,Beefin' over turf.,0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,
162e912d-b83a-4627-841e-e7d97f52982b,Response,Being awesome at sex.,0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
6ae3eef6-91ba-44f4-9aff-37f66b255370,Response,Boris the Soviet Love Hammer.,0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
c49b5ab5-7df0-474c-9c34-dd815683febd,Response,Bullshit.,0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
435af197-3fa2-4d6e-be72-3be02252f3dc,Response,Catastrophic urethral trauma.,0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
962aaa82-06c0-4bb0-b742-3cdf56709b27,Response,Crabapples all over the fucking sidewalk.,0,0,,,,,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
ceade305-f6b6-486a-af81-1f34f2d33cb3,Response,Crushing Mr. Peanut's brittle body.,0,0,,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
2b2e6ca0-3089-4f93-a75f-a0ba1beddf05,Response,Daddy's belt.,0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
8e3833b1-9579-406c-9fb3-ba56e24840e4,Response,Death by Steven Seagal.,0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
0c544466-46fe-45b9-9863-1c91ac74600e,Response,Dennis the Menace.,0,0,,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,
ecb0472c-5fad-4127-9142-d32888db63ae,Response,"Dining with cardboard cutouts of the cast of ""Friends.""",0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
4cf04c8a-55a8-40bb-85bc-6a5b03a18287,Response,Double penetration.,0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
ad1ddf13-16a4-4091-9541-37364711dcf5,Response,Existing.,0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
86dab738-3026-4a53-9171-f4f98afac9d3,Response,Fetal alcohol syndrome.,0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
c59cf150-b7a1-4b74-bacd-9153eafdcb34,Response,Finding Waldo.,0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
ed0419fc-bf80-47fd-91a0-384a4d533f7b,Response,Fuck Mountain.,0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
12c8ab84-1183-4744-a5e7-c12de6ce70a0,Response,Getting hilariously gang-banged by the Blue Man Group.,0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
57399737-ce01-424f-8840-0b03acaefe3d,Response,Grandpa's ashes.,0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
9ea33b15-0235-4331-8a88-ba50205b351a,Response,"Graphic violence, adult language, and some sexual content.",0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
66478b64-1e43-4d25-962b-25cad0d250b5,Response,Hillary Clinton.,0,0,,,,,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
92f55f48-b99b-45a3-b9fa-d5260c827c2c,Response,Hillary Clinton's death stare.,0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,
b27334ee-870d-463b-aae0-d2db74e2f4f7,Response,Intimacy problems.,0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
1c604b27-715a-41de-a84f-c35e55db3f47,Response,Jeff Goldblum.,0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
21461589-7c51-4dd5-8a9d-e9a5b41f71a6,Response,Living in a trashcan.,0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
740382b4-dd77-4b5a-9fa8-4c8e8dd169df,Response,"Loki, the trickster god.",0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
d1c411a9-d344-413a-a2bf-798c593dae2c,Response,Making a friend.,0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
86829945-fbec-4cfc-8e90-353c25dc1f3b,Response,Maximal insertion.,0,0,,,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
0776ce80-f6e6-4a80-9c37-86b85d04cb98,Response,Me.,0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
