uuid,name,description
e1dc7390-ee76-4684-a687-9309480c91f0,Cards Against Humanity: First Expansion,"Released November 7, 2011. Discontinued as of November 21, 2016 as a separate expansion. Still available for purchase while supplies last. This expansion has been incorporated into the Red Box Expansion. Icon: The number ""1"". "

uuid,edition,version,description,author,releaseDate,column
21c11868-ae8c-4341-9e86-65aefdfbe488,,v1.0,,,0,0
295395b1-c380-4730-85a0-b97c9a38030f,,v1.1,,,0,1
393a6bcd-8e1a-47bb-a1b0-e2363b89efad,,v1.2,,,0,2
1725a8b6-60b9-427f-95ff-d626a13b6861,,v1.3,,,0,3
df95ea0e-4aed-41a2-8914-9e925d21fd54,,v1.4,,,0,4
9b2571f3-ca4f-43a9-9431-b06010d5de68,,v1.5,,,0,5
141ac433-257d-48aa-ad3f-f4c717a1be46,,v1.6,,,0,6

uuid,suite,text,draw,pick,21c11868-ae8c-4341-9e86-65aefdfbe488,295395b1-c380-4730-85a0-b97c9a38030f,393a6bcd-8e1a-47bb-a1b0-e2363b89efad,1725a8b6-60b9-427f-95ff-d626a13b6861,df95ea0e-4aed-41a2-8914-9e925d21fd54,9b2571f3-ca4f-43a9-9431-b06010d5de68,141ac433-257d-48aa-ad3f-f4c717a1be46
8bec79ad-3d52-447d-b474-5996f65359be,Prompt,"In its new tourism campaign, Detroit proudly proclaims that it has finally eliminated ______.",0,0,21c11868-ae8c-4341-9e86-65aefdfbe488,295395b1-c380-4730-85a0-b97c9a38030f,393a6bcd-8e1a-47bb-a1b0-e2363b89efad,1725a8b6-60b9-427f-95ff-d626a13b6861,df95ea0e-4aed-41a2-8914-9e925d21fd54,9b2571f3-ca4f-43a9-9431-b06010d5de68,141ac433-257d-48aa-ad3f-f4c717a1be46
aa7e6a1b-59e4-4d22-b7a0-2d799a1881dc,Prompt,"In Rome, there are whisperings that the Vatican has a secret room devoted to ______.",0,0,21c11868-ae8c-4341-9e86-65aefdfbe488,295395b1-c380-4730-85a0-b97c9a38030f,393a6bcd-8e1a-47bb-a1b0-e2363b89efad,1725a8b6-60b9-427f-95ff-d626a13b6861,df95ea0e-4aed-41a2-8914-9e925d21fd54,9b2571f3-ca4f-43a9-9431-b06010d5de68,141ac433-257d-48aa-ad3f-f4c717a1be46
59fd3acb-6f9d-468f-b1f6-f30a373e4697,Prompt,"In the distant future, historians will agree that ______ marked the beginning of America's decline.",0,0,21c11868-ae8c-4341-9e86-65aefdfbe488,295395b1-c380-4730-85a0-b97c9a38030f,393a6bcd-8e1a-47bb-a1b0-e2363b89efad,1725a8b6-60b9-427f-95ff-d626a13b6861,df95ea0e-4aed-41a2-8914-9e925d21fd54,9b2571f3-ca4f-43a9-9431-b06010d5de68,
86b866b2-1098-4c02-9c58-fe4198fc1b01,Prompt,Michael Bay's new three-hour action epic pits ______ against ______.,0,2,21c11868-ae8c-4341-9e86-65aefdfbe488,295395b1-c380-4730-85a0-b97c9a38030f,393a6bcd-8e1a-47bb-a1b0-e2363b89efad,1725a8b6-60b9-427f-95ff-d626a13b6861,df95ea0e-4aed-41a2-8914-9e925d21fd54,9b2571f3-ca4f-43a9-9431-b06010d5de68,141ac433-257d-48aa-ad3f-f4c717a1be46
1ce164e2-2f92-4a67-bfe0-dda5af53036d,Prompt,My plan for world domination begins with ______.,0,0,21c11868-ae8c-4341-9e86-65aefdfbe488,295395b1-c380-4730-85a0-b97c9a38030f,,1725a8b6-60b9-427f-95ff-d626a13b6861,,9b2571f3-ca4f-43a9-9431-b06010d5de68,141ac433-257d-48aa-ad3f-f4c717a1be46
3fe45f5e-dc32-426b-a779-b199e6231d4a,Prompt,"Next season on Man vs, Wild, Bear Grylls must survive the depths of the Amazon with only ______ and his wits.",0,0,21c11868-ae8c-4341-9e86-65aefdfbe488,295395b1-c380-4730-85a0-b97c9a38030f,,1725a8b6-60b9-427f-95ff-d626a13b6861,,9b2571f3-ca4f-43a9-9431-b06010d5de68,
028c9ee6-1145-461a-9cf3-f95b79e5ec17,Prompt,"Next week on Discovery Channel, one man must survive in the depths of the Amazon with only _____ and his wits.",0,0,,,,,,,141ac433-257d-48aa-ad3f-f4c717a1be46
87e6bf4c-640e-414b-b4fe-eebcc7f898e8,Prompt,Science will never explain ______.,0,0,,,393a6bcd-8e1a-47bb-a1b0-e2363b89efad,1725a8b6-60b9-427f-95ff-d626a13b6861,df95ea0e-4aed-41a2-8914-9e925d21fd54,9b2571f3-ca4f-43a9-9431-b06010d5de68,141ac433-257d-48aa-ad3f-f4c717a1be46
437974f2-a8bc-44a1-b605-b83f897d0967,Prompt,Science will never explain the origin of ______.,0,0,21c11868-ae8c-4341-9e86-65aefdfbe488,295395b1-c380-4730-85a0-b97c9a38030f,,,,,
0f8e14ca-215a-40e5-bffb-5a9a22939607,Prompt,The CIA now interrogates enemy agents by repeatedly subjecting them to ______.,0,0,21c11868-ae8c-4341-9e86-65aefdfbe488,295395b1-c380-4730-85a0-b97c9a38030f,393a6bcd-8e1a-47bb-a1b0-e2363b89efad,1725a8b6-60b9-427f-95ff-d626a13b6861,df95ea0e-4aed-41a2-8914-9e925d21fd54,9b2571f3-ca4f-43a9-9431-b06010d5de68,141ac433-257d-48aa-ad3f-f4c717a1be46
3be4fe1a-a390-402a-b195-1cea3505c910,Prompt,"The secret to a lasting marriage is communication, communication, and ______.",0,0,,,,,,9b2571f3-ca4f-43a9-9431-b06010d5de68,141ac433-257d-48aa-ad3f-f4c717a1be46
e1f09836-bf8f-40e7-bea6-5cecf421d946,Prompt,The socialist governments of Scandinavia have declared that access to ______ is a basic human right.,0,0,21c11868-ae8c-4341-9e86-65aefdfbe488,295395b1-c380-4730-85a0-b97c9a38030f,393a6bcd-8e1a-47bb-a1b0-e2363b89efad,1725a8b6-60b9-427f-95ff-d626a13b6861,df95ea0e-4aed-41a2-8914-9e925d21fd54,9b2571f3-ca4f-43a9-9431-b06010d5de68,
cf8197e5-9fb3-4f43-81db-d8fa46147898,Prompt,"This season on Man vs. Wild, Bear Grylls must survive in the depths of the Amazon with only ______ and his wits.",0,0,21c11868-ae8c-4341-9e86-65aefdfbe488,,393a6bcd-8e1a-47bb-a1b0-e2363b89efad,,df95ea0e-4aed-41a2-8914-9e925d21fd54,,
2d64148a-ca36-43b1-af4e-f5a2459ff1a6,Prompt,What brought the orgy to a grinding halt?,0,0,21c11868-ae8c-4341-9e86-65aefdfbe488,295395b1-c380-4730-85a0-b97c9a38030f,393a6bcd-8e1a-47bb-a1b0-e2363b89efad,1725a8b6-60b9-427f-95ff-d626a13b6861,df95ea0e-4aed-41a2-8914-9e925d21fd54,9b2571f3-ca4f-43a9-9431-b06010d5de68,141ac433-257d-48aa-ad3f-f4c717a1be46
fdbbfb56-1e77-4697-941c-e5e59a7660b5,Prompt,What has been making life difficult at the nudist colony?,0,0,21c11868-ae8c-4341-9e86-65aefdfbe488,295395b1-c380-4730-85a0-b97c9a38030f,393a6bcd-8e1a-47bb-a1b0-e2363b89efad,1725a8b6-60b9-427f-95ff-d626a13b6861,df95ea0e-4aed-41a2-8914-9e925d21fd54,9b2571f3-ca4f-43a9-9431-b06010d5de68,141ac433-257d-48aa-ad3f-f4c717a1be46
8002b04f-6c7a-4354-939b-06d97db3179b,Prompt,What's the gift that keeps on giving?,0,0,21c11868-ae8c-4341-9e86-65aefdfbe488,295395b1-c380-4730-85a0-b97c9a38030f,393a6bcd-8e1a-47bb-a1b0-e2363b89efad,1725a8b6-60b9-427f-95ff-d626a13b6861,df95ea0e-4aed-41a2-8914-9e925d21fd54,9b2571f3-ca4f-43a9-9431-b06010d5de68,
f99f12e9-b1d9-4c73-8f7d-3d07259e9e24,Prompt,"When all else fails, I can always masturbate to ______.",0,0,21c11868-ae8c-4341-9e86-65aefdfbe488,295395b1-c380-4730-85a0-b97c9a38030f,393a6bcd-8e1a-47bb-a1b0-e2363b89efad,1725a8b6-60b9-427f-95ff-d626a13b6861,df95ea0e-4aed-41a2-8914-9e925d21fd54,9b2571f3-ca4f-43a9-9431-b06010d5de68,141ac433-257d-48aa-ad3f-f4c717a1be46
947d5613-3528-4331-a8d7-9853b48d26a1,Prompt,"When I pooped, what came out of my butt?",0,0,21c11868-ae8c-4341-9e86-65aefdfbe488,295395b1-c380-4730-85a0-b97c9a38030f,393a6bcd-8e1a-47bb-a1b0-e2363b89efad,1725a8b6-60b9-427f-95ff-d626a13b6861,df95ea0e-4aed-41a2-8914-9e925d21fd54,9b2571f3-ca4f-43a9-9431-b06010d5de68,141ac433-257d-48aa-ad3f-f4c717a1be46
f4d4f4f3-3913-4579-8ad4-6ba641539aa9,Response,24-hour media coverage.,0,0,21c11868-ae8c-4341-9e86-65aefdfbe488,295395b1-c380-4730-85a0-b97c9a38030f,,1725a8b6-60b9-427f-95ff-d626a13b6861,,9b2571f3-ca4f-43a9-9431-b06010d5de68,141ac433-257d-48aa-ad3f-f4c717a1be46
38fbfe00-ce60-4b04-a436-24be0ecfe229,Response,A beached whale.,0,0,21c11868-ae8c-4341-9e86-65aefdfbe488,295395b1-c380-4730-85a0-b97c9a38030f,393a6bcd-8e1a-47bb-a1b0-e2363b89efad,1725a8b6-60b9-427f-95ff-d626a13b6861,,,
9541c6b8-8fcc-42eb-99ad-24453db5bd99,Response,A big black dick.,0,0,21c11868-ae8c-4341-9e86-65aefdfbe488,295395b1-c380-4730-85a0-b97c9a38030f,393a6bcd-8e1a-47bb-a1b0-e2363b89efad,1725a8b6-60b9-427f-95ff-d626a13b6861,df95ea0e-4aed-41a2-8914-9e925d21fd54,9b2571f3-ca4f-43a9-9431-b06010d5de68,141ac433-257d-48aa-ad3f-f4c717a1be46
1c6c62af-8945-4cc8-b669-9020e0231be6,Response,A bloody pacifier.,0,0,21c11868-ae8c-4341-9e86-65aefdfbe488,295395b1-c380-4730-85a0-b97c9a38030f,393a6bcd-8e1a-47bb-a1b0-e2363b89efad,1725a8b6-60b9-427f-95ff-d626a13b6861,df95ea0e-4aed-41a2-8914-9e925d21fd54,9b2571f3-ca4f-43a9-9431-b06010d5de68,141ac433-257d-48aa-ad3f-f4c717a1be46
135d2486-4d06-43a9-9a21-6941118054d9,Response,A crappy little hand.,0,0,21c11868-ae8c-4341-9e86-65aefdfbe488,295395b1-c380-4730-85a0-b97c9a38030f,393a6bcd-8e1a-47bb-a1b0-e2363b89efad,1725a8b6-60b9-427f-95ff-d626a13b6861,df95ea0e-4aed-41a2-8914-9e925d21fd54,9b2571f3-ca4f-43a9-9431-b06010d5de68,141ac433-257d-48aa-ad3f-f4c717a1be46
c7795782-b3b9-41d3-b5f3-f7f962ea5446,Response,A fat bald man from the internet.,0,0,,,,,df95ea0e-4aed-41a2-8914-9e925d21fd54,9b2571f3-ca4f-43a9-9431-b06010d5de68,141ac433-257d-48aa-ad3f-f4c717a1be46
2ac8bd8d-0986-4df9-8e6e-3f36026e709b,Response,A Japanese tourist who wants something very badly but cannot communicate it.,0,0,,,,,,,141ac433-257d-48aa-ad3f-f4c717a1be46
7eecfa61-3e1a-4e8d-bca9-f194d8c83b86,Response,A low standard of living.,0,0,21c11868-ae8c-4341-9e86-65aefdfbe488,295395b1-c380-4730-85a0-b97c9a38030f,393a6bcd-8e1a-47bb-a1b0-e2363b89efad,1725a8b6-60b9-427f-95ff-d626a13b6861,df95ea0e-4aed-41a2-8914-9e925d21fd54,9b2571f3-ca4f-43a9-9431-b06010d5de68,141ac433-257d-48aa-ad3f-f4c717a1be46
90a693df-db84-4140-bae9-63fd7b158a68,Response,A nuanced critique.,0,0,21c11868-ae8c-4341-9e86-65aefdfbe488,295395b1-c380-4730-85a0-b97c9a38030f,393a6bcd-8e1a-47bb-a1b0-e2363b89efad,1725a8b6-60b9-427f-95ff-d626a13b6861,df95ea0e-4aed-41a2-8914-9e925d21fd54,9b2571f3-ca4f-43a9-9431-b06010d5de68,141ac433-257d-48aa-ad3f-f4c717a1be46
333ea657-579e-4af8-bb39-a3ebb4bdd79e,Response,A panty raid.,0,0,21c11868-ae8c-4341-9e86-65aefdfbe488,295395b1-c380-4730-85a0-b97c9a38030f,393a6bcd-8e1a-47bb-a1b0-e2363b89efad,,df95ea0e-4aed-41a2-8914-9e925d21fd54,,
bbf3be4b-0da7-4ffc-a801-4cbd6fb4423c,Response,A passionate Latino lover.,0,0,21c11868-ae8c-4341-9e86-65aefdfbe488,295395b1-c380-4730-85a0-b97c9a38030f,393a6bcd-8e1a-47bb-a1b0-e2363b89efad,1725a8b6-60b9-427f-95ff-d626a13b6861,df95ea0e-4aed-41a2-8914-9e925d21fd54,9b2571f3-ca4f-43a9-9431-b06010d5de68,141ac433-257d-48aa-ad3f-f4c717a1be46
fd210ee9-069b-41a4-a6fd-0f4cd5ce787b,Response,A plunger to the face.,0,0,,,393a6bcd-8e1a-47bb-a1b0-e2363b89efad,1725a8b6-60b9-427f-95ff-d626a13b6861,df95ea0e-4aed-41a2-8914-9e925d21fd54,9b2571f3-ca4f-43a9-9431-b06010d5de68,141ac433-257d-48aa-ad3f-f4c717a1be46
3dbe3cdb-e394-43b2-a5f4-e313b1c7b643,Response,A rival dojo.,0,0,21c11868-ae8c-4341-9e86-65aefdfbe488,295395b1-c380-4730-85a0-b97c9a38030f,393a6bcd-8e1a-47bb-a1b0-e2363b89efad,1725a8b6-60b9-427f-95ff-d626a13b6861,df95ea0e-4aed-41a2-8914-9e925d21fd54,9b2571f3-ca4f-43a9-9431-b06010d5de68,
987b9a3a-a588-4369-9c82-74e0db816064,Response,"A smiling black man, a latina businesswoman, a cool Asian, and some whites.",0,0,,,,1725a8b6-60b9-427f-95ff-d626a13b6861,df95ea0e-4aed-41a2-8914-9e925d21fd54,9b2571f3-ca4f-43a9-9431-b06010d5de68,141ac433-257d-48aa-ad3f-f4c717a1be46
ddfe795e-e82b-4c3b-a162-21587f223bbe,Response,A web of lies.,0,0,21c11868-ae8c-4341-9e86-65aefdfbe488,295395b1-c380-4730-85a0-b97c9a38030f,393a6bcd-8e1a-47bb-a1b0-e2363b89efad,1725a8b6-60b9-427f-95ff-d626a13b6861,df95ea0e-4aed-41a2-8914-9e925d21fd54,9b2571f3-ca4f-43a9-9431-b06010d5de68,141ac433-257d-48aa-ad3f-f4c717a1be46
65fb3b97-d845-4212-94d6-cc8a0acb4269,Response,A woman scorned.,0,0,21c11868-ae8c-4341-9e86-65aefdfbe488,295395b1-c380-4730-85a0-b97c9a38030f,393a6bcd-8e1a-47bb-a1b0-e2363b89efad,,,,
440ec517-f88d-4afb-a9e2-d6771764dec5,Response,An atomic wedgie.,0,0,21c11868-ae8c-4341-9e86-65aefdfbe488,295395b1-c380-4730-85a0-b97c9a38030f,393a6bcd-8e1a-47bb-a1b0-e2363b89efad,,df95ea0e-4aed-41a2-8914-9e925d21fd54,,
6745c861-7126-4be7-83fb-186d5962e821,Response,An Etsy steampunk strap-on.,0,0,,,,,,9b2571f3-ca4f-43a9-9431-b06010d5de68,141ac433-257d-48aa-ad3f-f4c717a1be46
803b79e3-ce4a-4222-80e3-986407f4a6d3,Response,An evil man in evil clothes.,0,0,,,,,,9b2571f3-ca4f-43a9-9431-b06010d5de68,141ac433-257d-48aa-ad3f-f4c717a1be46
40210fc4-f1c3-4e88-8aac-9d8fd1bc7e29,Response,"André the Giant's enormous, leathery scrotum.",0,0,,,,,,9b2571f3-ca4f-43a9-9431-b06010d5de68,141ac433-257d-48aa-ad3f-f4c717a1be46
91db00b5-82d4-4700-8bd1-cbdac7f2f04a,Response,Apologizing.,0,0,21c11868-ae8c-4341-9e86-65aefdfbe488,295395b1-c380-4730-85a0-b97c9a38030f,393a6bcd-8e1a-47bb-a1b0-e2363b89efad,1725a8b6-60b9-427f-95ff-d626a13b6861,df95ea0e-4aed-41a2-8914-9e925d21fd54,,
ec3891fd-a658-4931-934a-99c75363dfcc,Response,Appreciative snapping.,0,0,21c11868-ae8c-4341-9e86-65aefdfbe488,295395b1-c380-4730-85a0-b97c9a38030f,,,,,
80ad97e3-4520-4f7a-b6d7-f378d7eef45f,Response,Ashton Kutcher.,0,0,21c11868-ae8c-4341-9e86-65aefdfbe488,295395b1-c380-4730-85a0-b97c9a38030f,393a6bcd-8e1a-47bb-a1b0-e2363b89efad,,df95ea0e-4aed-41a2-8914-9e925d21fd54,,
def3aed8-3497-449e-abd4-de8d389886bc,Response,Beating your wives.,0,0,21c11868-ae8c-4341-9e86-65aefdfbe488,295395b1-c380-4730-85a0-b97c9a38030f,393a6bcd-8e1a-47bb-a1b0-e2363b89efad,1725a8b6-60b9-427f-95ff-d626a13b6861,df95ea0e-4aed-41a2-8914-9e925d21fd54,,
e7a27b7c-91c6-4db4-8ff6-b675b4ba62bd,Response,Being a busy adult with many important things to do.,0,0,21c11868-ae8c-4341-9e86-65aefdfbe488,295395b1-c380-4730-85a0-b97c9a38030f,,1725a8b6-60b9-427f-95ff-d626a13b6861,df95ea0e-4aed-41a2-8914-9e925d21fd54,9b2571f3-ca4f-43a9-9431-b06010d5de68,141ac433-257d-48aa-ad3f-f4c717a1be46
ae36e09e-51fb-4444-8294-3f8d58a5749c,Response,Being a dinosaur.,0,0,21c11868-ae8c-4341-9e86-65aefdfbe488,295395b1-c380-4730-85a0-b97c9a38030f,393a6bcd-8e1a-47bb-a1b0-e2363b89efad,1725a8b6-60b9-427f-95ff-d626a13b6861,df95ea0e-4aed-41a2-8914-9e925d21fd54,9b2571f3-ca4f-43a9-9431-b06010d5de68,141ac433-257d-48aa-ad3f-f4c717a1be46
d8888b47-f6db-4c5a-8ae7-afe35da43416,Response,"Big Bird's brown, crusty asshole.",0,0,,,,,,,141ac433-257d-48aa-ad3f-f4c717a1be46
4487c513-e5e7-47ed-aa6e-7b6f78693089,Response,Blaxploitation.,0,0,21c11868-ae8c-4341-9e86-65aefdfbe488,295395b1-c380-4730-85a0-b97c9a38030f,393a6bcd-8e1a-47bb-a1b0-e2363b89efad,,df95ea0e-4aed-41a2-8914-9e925d21fd54,,
6b7b7059-3c92-490f-b510-42a5b32170ff,Response,Bosnian chicken farmers.,0,0,21c11868-ae8c-4341-9e86-65aefdfbe488,295395b1-c380-4730-85a0-b97c9a38030f,393a6bcd-8e1a-47bb-a1b0-e2363b89efad,1725a8b6-60b9-427f-95ff-d626a13b6861,df95ea0e-4aed-41a2-8914-9e925d21fd54,9b2571f3-ca4f-43a9-9431-b06010d5de68,141ac433-257d-48aa-ad3f-f4c717a1be46
08811ea2-2c15-4d7e-b763-7ec25c1a949d,Response,Breaking nip slip news.,0,0,21c11868-ae8c-4341-9e86-65aefdfbe488,295395b1-c380-4730-85a0-b97c9a38030f,393a6bcd-8e1a-47bb-a1b0-e2363b89efad,,df95ea0e-4aed-41a2-8914-9e925d21fd54,,
8fc0e232-eca1-48a6-b8bb-18fce19f7c91,Response,Carnies.,0,0,21c11868-ae8c-4341-9e86-65aefdfbe488,295395b1-c380-4730-85a0-b97c9a38030f,393a6bcd-8e1a-47bb-a1b0-e2363b89efad,1725a8b6-60b9-427f-95ff-d626a13b6861,df95ea0e-4aed-41a2-8914-9e925d21fd54,9b2571f3-ca4f-43a9-9431-b06010d5de68,
3ee65a8a-3bec-40b1-8b14-56c5b7fcb16a,Response,Clams.,0,0,21c11868-ae8c-4341-9e86-65aefdfbe488,295395b1-c380-4730-85a0-b97c9a38030f,393a6bcd-8e1a-47bb-a1b0-e2363b89efad,1725a8b6-60b9-427f-95ff-d626a13b6861,df95ea0e-4aed-41a2-8914-9e925d21fd54,9b2571f3-ca4f-43a9-9431-b06010d5de68,141ac433-257d-48aa-ad3f-f4c717a1be46
182519a3-a6af-4eac-b2a8-d1d5f31479e3,Response,Clenched butt cheeks.,0,0,21c11868-ae8c-4341-9e86-65aefdfbe488,,393a6bcd-8e1a-47bb-a1b0-e2363b89efad,1725a8b6-60b9-427f-95ff-d626a13b6861,df95ea0e-4aed-41a2-8914-9e925d21fd54,9b2571f3-ca4f-43a9-9431-b06010d5de68,141ac433-257d-48aa-ad3f-f4c717a1be46
b879a4d1-66ce-4f9c-9afc-bc3672775fdb,Response,Converting to Islam.,0,0,,,,,,,141ac433-257d-48aa-ad3f-f4c717a1be46
f1995f04-a9dd-46e5-b964-6d978a157c71,Response,Coughing into a vagina.,0,0,21c11868-ae8c-4341-9e86-65aefdfbe488,295395b1-c380-4730-85a0-b97c9a38030f,393a6bcd-8e1a-47bb-a1b0-e2363b89efad,1725a8b6-60b9-427f-95ff-d626a13b6861,df95ea0e-4aed-41a2-8914-9e925d21fd54,,
4c5d230c-8877-4100-899b-5575cc2d4b1e,Response,Cutting.,0,0,21c11868-ae8c-4341-9e86-65aefdfbe488,295395b1-c380-4730-85a0-b97c9a38030f,393a6bcd-8e1a-47bb-a1b0-e2363b89efad,,df95ea0e-4aed-41a2-8914-9e925d21fd54,,
cf6b8284-3e4d-4e9c-82d5-c89d4a7b7972,Response,Dancing with a broom.,0,0,21c11868-ae8c-4341-9e86-65aefdfbe488,295395b1-c380-4730-85a0-b97c9a38030f,,,,,
9d21241e-b0f8-4be5-a74d-86ae9226a43c,Response,Deflowering a princess.,0,0,21c11868-ae8c-4341-9e86-65aefdfbe488,295395b1-c380-4730-85a0-b97c9a38030f,393a6bcd-8e1a-47bb-a1b0-e2363b89efad,,,,
60e53bdb-75b4-4ec8-b69f-f19a15040806,Response,Deflowering the princess.,0,0,,,,1725a8b6-60b9-427f-95ff-d626a13b6861,df95ea0e-4aed-41a2-8914-9e925d21fd54,9b2571f3-ca4f-43a9-9431-b06010d5de68,141ac433-257d-48aa-ad3f-f4c717a1be46
367c63df-1203-43a1-ac48-9d7216b3b86d,Response,Dorito breath.,0,0,21c11868-ae8c-4341-9e86-65aefdfbe488,295395b1-c380-4730-85a0-b97c9a38030f,393a6bcd-8e1a-47bb-a1b0-e2363b89efad,1725a8b6-60b9-427f-95ff-d626a13b6861,df95ea0e-4aed-41a2-8914-9e925d21fd54,9b2571f3-ca4f-43a9-9431-b06010d5de68,141ac433-257d-48aa-ad3f-f4c717a1be46
7d2dcbce-d230-45cc-b121-7c6ae711289c,Response,Eating an albino.,0,0,21c11868-ae8c-4341-9e86-65aefdfbe488,295395b1-c380-4730-85a0-b97c9a38030f,393a6bcd-8e1a-47bb-a1b0-e2363b89efad,1725a8b6-60b9-427f-95ff-d626a13b6861,df95ea0e-4aed-41a2-8914-9e925d21fd54,9b2571f3-ca4f-43a9-9431-b06010d5de68,141ac433-257d-48aa-ad3f-f4c717a1be46
7a7b052f-7592-452b-9cbd-b48159f60a3a,Response,Enormous Scandinavian women.,0,0,21c11868-ae8c-4341-9e86-65aefdfbe488,295395b1-c380-4730-85a0-b97c9a38030f,393a6bcd-8e1a-47bb-a1b0-e2363b89efad,1725a8b6-60b9-427f-95ff-d626a13b6861,df95ea0e-4aed-41a2-8914-9e925d21fd54,9b2571f3-ca4f-43a9-9431-b06010d5de68,141ac433-257d-48aa-ad3f-f4c717a1be46
