uuid,name,description
47639e6b-908f-487d-b9f4-331291709011,Blue Box Expansion,"A combination of the Fourth, Fifth, and Sixth Expansions.
Released November 21, 2016.  Icon: A blue triangle.
"

uuid,edition,version,description,author,releaseDate,column
5af68d79-d4da-434d-a68c-0c22437fee6b,,v1.0,,,0,0
cc6795b7-da58-4a6a-90ce-9c7d1a558e58,,v1.1,,,0,1
defba22f-460d-423c-9cff-55a28a5b9e9d,,v1.2,,,0,2
d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,,v1.3,,,0,3
63789969-a5ae-49dc-a690-422651063710,,v1.4,,,0,4
c8cda89c-76b0-441a-81e1-5cd23e6286aa,Prompt,"Come to Dubai, where you can relax in our world-famous spas, experience the nightlife, or simply enjoy ______ by the poolside.",0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
2197339e-69ac-4d35-b083-699c8fed7699,Prompt,Dammit Gary. You can't just solve every problem with ______.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
fef5ab84-9ed6-4c19-ab88-8f57fc09ba7b,Prompt,"Dear Leader Kim Jong-un, our village praises your infinite wisdom with a humble offering of ______.",0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
177cc20d-7ba3-4274-8ee8-74928611e189,Prompt,Do not fuck with me! I am literally ______ right now.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
3685396f-f5b4-4732-a192-e84c349d75a5,Prompt,Do the Dew with our most extreme flavor yet! Get ready for Mountain Dew ______!,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
90ff47e0-262c-43ac-859e-90ecce631379,Prompt,Do you lack energy? Does it sometimes feel like the whole world is ______ ? Ask your doctor about Zoloft.®,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
0989b50a-2b52-46b2-93b1-82ec5900f200,Prompt,"Don't forget! Beginning this week, Casual Friday will officially become ""______ Friday.""",0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
cca95c10-2a7b-49e7-87ce-7397d5657185,Prompt,Don't worry kid. It gets better. I've been living with ______ for 20 years.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
2764cda4-6f91-4221-9a00-fcc8bf10ad43,Prompt,Every step towards ______ gets me a little bit closer to ______.,0,2,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
259a4986-e63e-4935-91fa-1af52f9f31bd,Prompt,Everybody join hands and close your eyes. Do you sense that? That's the presence of ______ in this room.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
60937785-8cd9-4e72-a57f-f6cc73cda967,Prompt,"Forget everything you know about ______, because now we've supercharged it with ______!",0,2,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
f370c2fc-1749-4f74-acb1-8379446a7a71,Prompt,Get ready for the movie of the summer! One cop plays by the book. The other's only interested in one thing: ______.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
9121f437-d5ba-43bf-9354-dca0686d1e95,Prompt,Having the worst day EVER. #______,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
57f04d08-1e98-41c5-ba7b-5cc24393da8e,Prompt,"Heed my voice, mortals! I am the god of ______ , and I will not tolerate ______!",0,2,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
4f05fb4e-7bc3-4874-a9aa-01446ffddaf8,Prompt,"Help me doctor, I've got ______ in my butt!",0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
2cbb7a5f-f184-4cf2-aa93-3d83fb0381ad,Prompt,"Here at the Academy for Gifted Children, we allow students to explore ______ at their own pace.",0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
607b7c9c-7b0c-4ede-916e-69612ff31abf,Prompt,"Hi MTV! My name is Kendra, I live in Malibu, I'm into ______, and I love to have a good time.",0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
88d40376-7db8-4b00-97b2-2eb9c9c073f1,Prompt,"Hi, this is Jim from accounting. We noticed a $1,200 charge labeled ""______."" Can you explain?",0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
87b1c112-48e9-458a-a5a6-c5192741cd61,Prompt,"Honey, I have a new role-play I want to try tonight! You can be ______, and I'll be ______.",0,2,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
81f72947-b295-48c3-a687-610a0443b8ee,Prompt,How am I compensating for my tiny penis?,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
9fbb3289-0867-4e65-bfe0-12b1aa4a1bd1,Prompt,"I am become ______, destroyer of ______!",0,2,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
f4eb97de-62dc-442f-901a-da35d8fc398a,Prompt,"I don't mean to brag, but they call me the Micheal Jordan of ______.",0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
646086d0-bd67-483f-9923-6b005f3f8561,Prompt,"I have a strict policy. First date, dinner. Second date, kiss. Third date, ______.",0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
456b4b82-8525-45c1-bda6-2376c9e82b3d,Prompt,"I work my ass off all day for this family, and this is what I come home to? ______!?",0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
5ddddea3-25d1-45dc-9b2f-7c687fc3eadd,Prompt,"I'm Miss Tennessee, and if I could make the world better by changing one thing, I would get rid of ______.",0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
e0b56c48-5b6d-4e0d-a3e7-6b0755aa677f,Prompt,"I'm pretty sure I'm high right now, because I""m absolutely mesmerized by ______.",0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
5d7ff121-7437-4bd3-820b-b51e929f975a,Prompt,"I'm sorry, Mrs. Chen, but there was nothing we could do. At 4:15 this morning, your son succumbed to ______.",0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
99689df9-72c5-492f-85a6-4de787db7942,Prompt,"I'm sorry, sir, but we don't allow ______ at the country club.",0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
e7ca277b-e591-4f9c-9eb3-8610adcd637c,Prompt,"If you can't handle ______, you'd better stay away from ______.",0,2,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
d568b1cd-ea30-40a0-abfb-9d04cca9e526,Prompt,"If you had to describe the Card Czar, using only one of the cards in your hand, which one would it be?",0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
1ecb9080-a44c-4ee3-a3d7-7bd1a4241988,Prompt,"In his farewell address, George Washington famously warned Americans about the dangers of ______.",0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
89b474d7-0a37-45e7-a696-b4e304fd688f,Prompt,"In his new action comedy, Jackie Chan must fend off ninjas while also dealing with ______.",0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,
461234d7-790c-4c94-aacb-7cd6548d6872,Prompt,"In return for my soul, the Devil promised me ______, but all I got was ______.",0,2,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
a46a1a84-b3b1-45b0-8b2f-dfb60c775571,Prompt,"In the beginning, there was ______. And the Lord said, ""Let there be ______.""",0,2,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
79281251-ed1b-4b03-9a85-5ed3d5289df8,Prompt,"In the new John Wick movie, Keanu Reeves must fend off ninjas while also dealing with ______. ",0,0,,,,,63789969-a5ae-49dc-a690-422651063710
535ca878-93d2-4af7-9e34-e8de76ae0293,Prompt,"It lurks in the night. It hungers for flesh. This summer, no one is safe from ______.",0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
92b2de84-0921-4fd2-a41d-9cd30b9179e2,Prompt,"James is a lonely boy. But when he discovers a secret door in his attic, he meets a magical new friend: ______.",0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
04fe7b89-09c3-429e-96d0-fa26f397c4f2,Prompt,Life's pretty tough in the fast lane. That's why I never leave the house without ______.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
b98b456a-8db5-4ae9-b075-2a588b3eca3b,Prompt,"Listen Gary, I like you. But if you want that corner office, you're going to have to show me ______.",0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
3362f636-672f-41cc-90e3-225ded6d136f,Prompt,"Mama gets what Mama wants, and Mama wants ______.",0,0,,,,,63789969-a5ae-49dc-a690-422651063710
d22c3fc4-9356-471f-94f7-38e1fc20a08c,Prompt,"Man, this is bullshit. Fuck ______.",0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
8bf8f447-e8a4-4fe2-9d53-caa917761308,Prompt,"My grandfather worked his way up from nothing. When he came to this country, all he had was the shoes on his feet and ______.",0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
6a30ffab-5965-4315-846c-91bf5f8b3263,Prompt,"Now in bookstores: ""The Audacity of ______"" by Barack Obama.",0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,
14d04e99-8da4-43d4-9391-6ea1a35d923d,Prompt,"Oprah's book of the month is ""______ For ______: A Story of Hope.""",0,2,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,
c78e5dfc-ff90-45a1-b590-13f25ab77dc5,Prompt,"Parents are concerned about a new YouTube craze known as ""______ Challenge.""",0,0,,,,,63789969-a5ae-49dc-a690-422651063710
9ea3d94a-97ff-48f4-b4ee-82faf64e5cba,Prompt,Patient presents with ______. Likely a result of ______.,0,2,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
64ed6556-5d93-433f-a9b0-b39b46927560,Prompt,Puberty is a time of change. You might notice hair growing in new places. You might develop an intrest in ______. This is normal.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
6fa97daa-cc33-4c90-9541-c4915f62dfb1,Prompt,She's up all night for good fun. I'm up all night for ______.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
bfa132df-ce00-4d5a-b34e-05c425e23b31,Prompt,"The Japanese have developed a smaller, more efficient version of ______.",0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
a28b7721-0eda-4bec-b450-d6d47bdea66a,Prompt,"The six things I could never do without: oxygen, Facebook, chocolate, Netflix, friends, and ______ LOL!",0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
5cf62fde-7fea-40eb-9ed1-21200e47f0de,Prompt,"This is America. If you don't work hard, you don't succeed. I don't care if you're black, white, purple, or ______.",0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
d18dcd7b-fa49-4e63-8df7-d5bd99dd35bf,Prompt,"This is the prime of my life. I'm young, hot, and full of ______.",0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
81e69c64-f163-450c-adfc-2ad96b68eb17,Prompt,"This year's hottest album is ""______"" by ______.",0,2,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
4abd105c-9081-4d02-9368-3211bf97cd0f,Prompt,"To become a true Yanomami warrior, you must prove that you can withstand ______ without crying out.",0,0,,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
0a2c64e2-e45f-4f74-8a7a-372d705a4b49,Prompt,"To become a true Yanomamo warrior, you must prove that you can withstand ______ without crying out.",0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,,,,
ad4230b7-da15-4835-98ef-57afb2d4954c,Prompt,"Tonight we will have sex. And afterwards, If you'd like, a little bit of ______.",0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
631b4791-9fdc-4d26-b59d-89336e6c0e15,Prompt,"We never did find ______, but along the way we sure learned a lot about ______.",0,2,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
4aaa9193-791e-4e6b-a5ec-77e7121b3677,Prompt,"Well if ______ is good enough for ______, it's good enough for me.",0,2,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
