uuid,name,description
89aff2d9-be45-4d03-8d01-f884644261e9,Green Box Expansion,"Released November 21, 2016. Icon: A green circle. Upated Icon as of 1.2: A black circle.
"

uuid,edition,version,description,author,releaseDate,column
015a22ce-c732-45a3-9d8b-401e2e821e94,,v1.0,,,0,0
df0f9bd1-b8bd-42ab-ba0c-b366107f976f,,v1.1,,,0,1
8492980b-94bb-4ded-8018-f6340cbc7043,,v1.2,,,0,2
a8a9be8c-e66a-42f5-84f6-1d233575d8d1,,v1.3,,,0,3

uuid,suite,text,draw,pick,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
4f1f9eb3-a874-41b0-b7b1-ea55fd112f5b,Prompt,"I tell you, it was a non-stop fuckfest. When it was over, my asshole looked like ______.",0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
5783fe56-e421-47b0-b851-fefe597cfd0e,Prompt,I’ll take the BBQ bacon burger with friend egg and fuck it how about ______.,0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
9f601395-9a1b-4558-8afc-62a2e514fa58,Prompt,"I’m sorry, sir, but your insurance plan doesn’t cover injuries caused by ______.",0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
f0b8405d-2a16-4801-b142-c82813296fa6,Prompt,"I’ve had a horrible vision, father. I saw mountains crumbling, stars falling from the sky. I saw ______.",0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
00ee8733-9256-4f82-b2f4-22b4d2bbbe6f,Prompt,"If at first you don’t succeed, try ______.",0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
13f7b23d-bb2f-4de1-bbda-284192e58c10,Prompt,"In the 1950s, psychologists prescribed ______ as a cure for homosexually.",0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
4dad781e-4642-4e6d-a969-3b7936372c8f,Prompt,LSD + ______ = really bad time.,0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
35d64d39-e9a2-41e4-896f-324139c70b0f,Prompt,"Mom’s to-do list:
 * Buy Groceries
 * Clean up ______.
 * Soccer Practice.",0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
5eedbdc5-e129-4040-a771-c38c3c038830,Prompt,Most Americans would not vote for a candidate who is openly ______.,0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
7a1b4753-02fd-41c6-9197-f8f2d0d64045,Prompt,"No, no, no, no, no, no, NO! I will NOT let ______ ruin this wedding.",0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
1cc3f60a-eb62-4419-9663-aaaafcc7e578,Prompt,"Oh no! Siri, how do I fix ______?",0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
3fcc6663-c365-4569-ac03-2812588fd305,Prompt,One more thing. Watch out for Big Mike. They say he killed a man with ______.,0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
3674d541-f985-45e5-841b-bdacd89e4547,Prompt,"Ooo, daddy like ______.",0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
f92b2f71-f6a7-4a20-9710-a617d1501db2,Prompt,"Poor Brandon, still living in his parent’s basement. I heard he never got over ______.",0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
55afdb7d-51fa-4048-afe3-c63e4ed86aa2,Prompt,"Run, run, as fast as you can! You can’t catch me, I’m ______!",0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
5289484d-c71b-4534-8d33-60f93a0dd32e,Prompt,"She’s a lady in the streets, ______ in the sheets.",0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
90b6665d-01cd-4fb7-9a4b-c07a23a35aa9,Prompt,"She’s just one of the guys, you know? She likes beer, and football, and ______.",0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
de2a0f9a-6a86-4b3a-b0a1-46dc3dcd8c55,Prompt,"Son, take it from someone who’s been around the block a few times. Nothin’ puts her in the mood like ______.",0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
8d02b356-20dc-422b-a72c-dbafa3f5d4c1,Prompt,"Summer lovin’, had me a blast. ______, happened so fast.",0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
0f76f2c0-43f4-4c19-90e4-7e1c9828dd81,Prompt,"The top Google auto-complete results for “Barack Obama”:
Barack Obama Height.
Barack Obama net worth.
Barack Obama ______.",0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
107c9a89-3d79-4f2e-a636-11866b345bc9,Prompt,"Then the princess kissed the frog, and all of a sudden the frog was ______!",0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
c97d7c20-dcfa-4034-8a62-9ac43e7f5be0,Prompt,There is no God. It’s just ______ and then you die.,0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
91752e46-cbbe-4e69-84ad-a260fbc74ff5,Prompt,"This Friday at the Liquid Lunge, it’s ______ Night! Ladies drink free.",0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
f9b89256-66b7-4b27-8544-90bb33ed50d1,Prompt,We do not shake with our left hands in this country. That is the hand we use for ______.,0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
8aa4f793-df03-4f7d-b42f-d99056853f53,Prompt,"Well if ______ is a crime, then lock me up!",0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
e6d17480-010a-41fb-a624-430f73d856fc,Prompt,"Well, shit. My eyes ain’t so good, but I’ll eat my own boot if that ain’t ______!",0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
9c0458b0-803f-4855-9fb4-5bbb25f9f52e,Prompt,What are all those whales singing about?,0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
97b92ba1-0c0e-4ee6-b9c7-910ebed5c5ab,Prompt,What sucks balls?,0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
6fbac636-c02e-4167-85cd-331094e1b8b5,Prompt,What totally destroyed my asshole?,0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
0e21a620-c9e2-4904-8060-bf29e00eb5d3,Prompt,What turned me into a Republican?,0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
7cbc0f6c-0a6e-4a6a-8c9f-cb636d07647f,Prompt,What will end racism once and for all?,0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
db1ed4e4-cb4f-4bac-b022-df74e97b21de,Prompt,What’s a total waste of Hillary Clinton’s time?,0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,,,
32f5a001-cea7-4474-8c0e-6b11d02a8aba,Prompt,What’s about to take dance floor to the next level?,0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
997c3f6b-f4f4-436d-89d7-b9313a6995ce,Prompt,What’s the gayest?,0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
8bf51d47-6f88-44fc-9b4c-76b3a6754ba4,Prompt,What’s the most problematic?,0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
982d677f-dd0b-48fc-b2a8-85608711081f,Prompt,Why am I laughing and crying and taking off my clothes?,0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
5f8d3324-2c37-42d5-a09a-e79c934d881c,Prompt,"With a one-time gift of just $10, you can save this child from ______.",0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
4ca86a7b-8308-4ab6-817d-1d5b22760645,Prompt,You know who else liked ______? Hitler.,0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
568e097d-6513-456f-8574-6baff84f1a61,Prompt,You won’t believe what’s in my pussy. It’s ______.,0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
85d6f6da-1611-4f17-868f-f91ec2480eb6,Response,10 football players with erections barrelling towards you at full speed.,0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
a160cde8-ca55-47cd-871f-fde0e2a1b691,Response,"10,000 shrieking teenage girls.",0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
4c4526ed-ef63-40a9-8c6e-c892914f995d,Response,A big ol’ plate of fettuccini alfredo.,0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
48ebe100-24fe-4e70-b96f-32dec73d8302,Response,"A big, beautiful mouth packed to the brim with sparkling white teeth.",0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
aa116232-4153-49e4-95fa-7ea6544e0850,Response,A black friend.,0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
4e2ac151-d9ea-4dbe-a675-fc3d65a81278,Response,A burrito that’s just sour cream.,0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
49d462ba-6bfe-424d-9d8a-873a56023889,Response,A cheerfulness that belies a deep-seated self-loathing.,0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
689bb14f-213e-49a8-b480-470fc815fabf,Response,A cold and indifferent universe.,0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
337ea8e0-8c34-407b-b952-7d5602fae6d2,Response,A creature made of penises that must constantly arouse itself to survive.,0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
16426432-2bcd-4487-81e9-119b86c3e56e,Response,A creepy child singing a nursery rhyme.,0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
44c4f6eb-b804-4db2-933b-960d39e809ac,Response,A dildo signed by Jimmy Carter.,0,0,,,,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
786eb480-03e5-4bf3-b939-daa3cee9fbc4,Response,A dolphin that learns to talk and becomes the Dean of Harvard Law School.,0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
2b81ce2a-fef9-480f-bf81-87ab0c9093dc,Response,A duffel bag full of lizards.,0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
6a09626d-eaff-41bc-931a-59a65fd0a1e4,Response,A finger up the butt.,0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
59cc4b78-a143-4ba5-b1c0-da1898e4ee3e,Response,A genetic predisposition for alcoholism.,0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
df42d906-98f2-460b-aec1-9a498051f491,Response,A groundbreaking new masturbation technique.,0,0,,,,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
b670caa3-67ce-48f0-a0b6-b1e023d055b4,Response,A gun that shoots cobras.,0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
a022f4c8-e350-4894-8c51-380fe2a9784a,Response,A hug.,0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
1ea12516-83e6-41aa-8283-a9a56a52aa2e,Response,A long business meeting with no obvious purpose.,0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
5a187e9f-1243-454a-8b39-7f5f1c35a90e,Response,A man in a suit with perfect hair who tells you beautiful lies.,0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
4aafd123-e553-4613-8c21-06bca2218b09,Response,A man with the head of a goat and the body of a goat.,0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
fa9913a9-ede1-4b37-b80e-8d65794be9c8,Response,A massive collection of child pornography.,0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
3667a0b9-d8a6-4e90-a9c4-032075ddf961,Response,A medium horchata.,0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
f34a4541-e7ee-4b2e-a761-8756030890ad,Response,A negative body image that is totally justified.,0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,
