uuid,name,description
b9c04462-24a5-49a7-83ba-25e96bb4626c,Cards Against Humanity: Second Expansion,"Released August 31, 2012. Discontinued as of November 21, 2016 as a separate expansion. Still available for purchase while supplies last. This expansion has been incorporated into the Red Box Expansion. Icon: The number ""2"". "

uuid,edition,version,description,author,releaseDate,column
fd5da6c5-95cb-419a-b1f5-df5746e63e0c,,v1.0,,,0,0
71fe78fe-9464-4a3e-b27b-c0c4144911a5,,v1.1,,,0,1
cf24cc0a-4854-4646-a75f-97b6d11a0982,,v1.2,,,0,2
74d5862e-1dd0-4dca-a902-126b9492bb18,,v1.3,,,0,3
517bbdc4-63e3-4525-9cad-7a53a66713da,,v1.4,,,0,4

uuid,suite,text,draw,pick,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
585160c3-ff62-4e82-a7da-fe6774f661a8,Response,"A bigger, blacker dick.",0,0,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
fd41f5a0-76a9-461e-a623-3d0c30a8adbf,Response,A Burmese tiger pit.,0,0,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
cd23c481-9eb0-474b-9966-4204103b332e,Response,A dollop of sour cream.,0,0,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
68170572-4eff-4504-9b73-7836bf779879,Response,A fortuitous turnip harvest.,0,0,,,,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
0b209df9-0b80-462b-937f-d1a9cbeaf249,Response,A magic hippie love cloud.,0,0,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
b7109397-fde8-447f-9da4-912c5340d7ca,Response,A man in yoga pants with a ponytail and feather earrings.,0,0,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
a4e6a8b0-7262-4869-9a8d-71632486fabc,Response,A piñata full of scorpions.,0,0,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
a802e0c2-60c9-44e1-a505-ff0da26422aa,Response,A sad fat dragon with no friends.,0,0,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
d389f738-c4e2-428f-a1ed-b1dc11f97e7c,Response,A slightly shittier parallel universe.,0,0,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
50f94f0f-bd8d-4955-85d4-465b8316b652,Response,"A sofa that says “I have style, but I like to be comfortable.”",0,0,,,,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
e0c2c00b-619a-41ff-8601-1af7be4784d9,Response,"A soulful rendition of ""Ol' Man River.""",0,0,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,
2d3635f2-5774-40ab-89e5-4a5ef9e97305,Response,A squadron of moles wearing aviator goggles.,0,0,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
45c6e0e5-6dc4-453f-87b6-2342b3beb90d,Response,"A sweaty, panting leather daddy.",0,0,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
3e4a41a7-3861-4031-b226-dcaf5dbd3d83,Response,A sweet spaceship.,0,0,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
a74c3734-18d6-449e-a42a-b697c8ba5646,Response,All of this blood.,0,0,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
9c3f9162-973f-4b6d-9d86-9c5972a27306,Response,An army of skeletons.,0,0,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
9fc685bb-f080-4321-bf8e-27a0dbe74cb4,Response,An ether-soaked rag.,0,0,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
712a7e99-fde9-4029-af11-24ec759a1292,Response,An unhinged ferris wheel rolling toward the sea.,0,0,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
8e1cb0a9-5486-4596-bd0f-94fcdd1a5b60,Response,Another shot of morphine.,0,0,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
334ab63d-eedb-4562-b996-adc4fc47fe66,Response,Basic human decency.,0,0,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
c8d8a1c6-77de-4fc5-901f-0e2e18921aa9,Response,Beefin' over turf.,0,0,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,
18144f55-5959-4ea2-94a4-700f0ba6a541,Response,Being awesome at sex.,0,0,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
b92480b8-b922-4c14-bd20-30570642c43e,Response,Boris the Soviet Love Hammer.,0,0,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
8f1e7d77-eea5-42fb-81db-53940bcdfb44,Response,Bullshit.,0,0,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
ec0fa5a6-4f81-41b9-9de6-1cf04f19d874,Response,Catastrophic urethral trauma.,0,0,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
7105c463-8774-47f2-a0cb-4813b375188a,Response,Crabapples all over the fucking sidewalk.,0,0,,,,,517bbdc4-63e3-4525-9cad-7a53a66713da
cdd96ae5-a77f-4387-ab01-8dd4e4e1bca9,Response,Crushing Mr. Peanut's brittle body.,0,0,,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
abaa21bb-0545-4994-a4a0-b8fc5d2f63d3,Response,Daddy's belt.,0,0,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
1b382b3f-75db-49a1-8a84-724338464ec3,Response,Death by Steven Seagal.,0,0,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
6bfa8686-38c6-41f4-ab11-99d2c0931633,Response,Dennis the Menace.,0,0,,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,
5820f461-5900-4c92-ae2c-c99da861b5e9,Response,"Dining with cardboard cutouts of the cast of ""Friends.""",0,0,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
53b25a3b-71c3-4a67-ae79-6811c92f64c8,Response,Double penetration.,0,0,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
1ca85d97-b4e8-46df-aec4-d4580b7fc76b,Response,Existing.,0,0,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
cc4bcb60-b222-4bd7-9555-c6dda1ce0471,Response,Fetal alcohol syndrome.,0,0,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
61fb7606-bc2d-4585-a8a0-7610d5281c28,Response,Finding Waldo.,0,0,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
7fab5e7e-a5dd-42f5-9c47-adf4a0b0db29,Response,Fuck Mountain.,0,0,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
2c3dbc78-25ce-4290-9abd-0401a01f93f6,Response,Getting hilariously gang-banged by the Blue Man Group.,0,0,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
d85ca8a5-1864-428b-becd-622d434a4dd2,Response,Grandpa's ashes.,0,0,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
43020838-882a-4cbd-8e6a-48c014f1356e,Response,"Graphic violence, adult language, and some sexual content.",0,0,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
1792d181-880a-4c07-b8ff-f9e0adc2305c,Response,Hillary Clinton.,0,0,,,,,517bbdc4-63e3-4525-9cad-7a53a66713da
73892c13-1d2c-438f-ad64-f5a18c454c54,Response,Hillary Clinton's death stare.,0,0,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,
b9ad4d03-ce36-4786-ad66-b586b781294b,Response,Intimacy problems.,0,0,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
afc66890-e34d-47cb-81fd-94b97d97c5dc,Response,Jeff Goldblum.,0,0,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
2cef594a-0906-4a3c-b6bd-c0a3ff12cad8,Response,Living in a trashcan.,0,0,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
